date,fold,selected_name,strategy,equal_weight,benchmark
2012-02-06,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0000000000,1.0000000000
2012-02-07,1,ret60_ret5_top5_riskoff0,1.0000000000,0.9831493617,0.9814839957
2012-02-08,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0087444410,1.0095514950
2012-02-09,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0137168989,1.0099468119
2012-02-10,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0185760269,1.0116997828
2012-02-13,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0261268886,1.0110449144
2012-02-14,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0255163910,1.0071037248
2012-02-15,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0410947409,1.0180847496
2012-02-16,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0392094721,1.0126780923
2012-02-17,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0371557749,1.0130853884
2012-02-20,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0392690204,1.0145308906
2012-02-21,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0503002955,1.0232118899
2012-02-22,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0686129471,1.0371997189
2012-02-23,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0719287913,1.0407056606
2012-02-24,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0859988390,1.0573808459
2012-02-27,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0898430242,1.0607949463
2012-02-28,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0863759504,1.0631468822
2012-02-29,1,ret60_ret5_top5_riskoff0,0.9990000000,1.0739490045,1.0518384232
2012-03-01,1,ret60_ret5_top5_riskoff0,1.0028864689,1.0781708807,1.0515229683
2012-03-02,1,ret60_ret5_top5_riskoff0,1.0278348206,1.0980291680,1.0701228278
2012-03-05,1,ret60_ret5_top5_riskoff0,1.0242739173,1.0966014185,1.0632427166
2012-03-06,1,ret60_ret5_top5_riskoff0,1.0113354594,1.0845877112,1.0466114554
2012-03-07,1,ret60_ret5_top5_riskoff0,0.9998059903,1.0785218118,1.0394039100
2012-03-08,1,ret60_ret5_top5_riskoff0,1.0158810460,1.0926775466,1.0524972847
2012-03-09,1,ret60_ret5_top5_riskoff0,1.0266257744,1.1072126829,1.0638816126
2012-03-12,1,ret60_ret5_top5_riskoff0,1.0212579434,1.1104570436,1.0599284436
2012-03-13,1,ret60_ret5_top5_riskoff0,1.0298479610,1.1208856592,1.0705780411
2012-03-14,1,ret60_ret5_top5_riskoff0,0.9923406147,1.0781872261,1.0402464541
2012-03-15,1,ret60_ret5_top5_riskoff0,0.9779488929,1.0672864812,1.0324359507
2012-03-16,1,ret60_ret5_top5_riskoff0,0.9934324189,1.0906242100,1.0475977511
2012-03-19,1,ret60_ret5_top5_riskoff0,1.0010720465,1.1015239231,1.0501892729
2012-03-20,1,ret60_ret5_top5_riskoff0,0.9872872990,1.0798976035,1.0319967097
2012-03-21,1,ret60_ret5_top5_riskoff0,0.9945482277,1.0815666526,1.0333304051
2012-03-22,1,ret60_ret5_top5_riskoff0,0.9927538806,1.0784550098,1.0317171927
2012-03-23,1,ret60_ret5_top5_riskoff0,0.9757575239,1.0605663483,1.0194144518
2012-03-26,1,ret60_ret5_top5_riskoff0,0.9752225104,1.0598911995,1.0204127268
2012-03-27,1,ret60_ret5_top5_riskoff0,0.9755968055,1.0567339794,1.0170984539
2012-03-28,1,ret60_ret5_top5_riskoff0,0.9404821233,1.0151300184,0.9882523000
