rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2014,0.4862765325
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2015,0.2358973041
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2016,-0.1124335769
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2017,-0.0243958061
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2018,-0.1643571616
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2019,0.2179384130
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2020,0.3439483148
1,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2021,0.0050107604
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2014,0.4862765325
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2015,0.2331671171
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2016,-0.1016721562
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2017,-0.0507171827
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2018,-0.0966850481
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2019,0.1375856011
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2020,0.3594533951
2,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2021,-0.0098043478
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2014,0.4862765325
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2015,0.2305226611
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2016,-0.0970754395
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2017,-0.0637242982
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2018,-0.0614643794
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2019,0.0991715301
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2020,0.3667926631
3,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2021,-0.0176106525
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2014,0.4497308763
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2015,0.2314327436
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2016,-0.0660948109
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2017,-0.0054362024
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2018,-0.1128433592
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2019,0.1006924999
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2020,0.3124127761
4,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2021,-0.0106636523
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2014,0.4862765325
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2015,0.2227168519
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2016,-0.0894743125
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2017,-0.0894282965
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2018,0.0117659580
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2019,0.0257246137
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2020,0.3806252628
5,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2021,-0.0339830310
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2014,0.4445753179
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2015,0.2285449086
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2016,-0.0561112066
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2017,-0.0124002873
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2018,-0.0805123398
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2019,0.0585466485
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2020,0.3127350768
6,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2021,-0.0186170884
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2014,0.4394359420
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2015,0.2248174082
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2016,-0.0466066013
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2017,-0.0193673878
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2018,-0.0474085261
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2019,0.0178655154
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2020,0.3127161641
7,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2021,-0.0268315493
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2014,0.4343127054
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2015,0.2202606866
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2016,-0.0375939460
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2017,-0.0263367861
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2018,-0.0135322618
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2019,-0.0213960875
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2020,0.3123571057
8,ret60_ret5_top5_softoff0_modes,ret60_ret5,2021,-0.0352990055
