date,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5_top5_softoff0p3_modes,ret60_ret5_top5_riskoff0_modeh,ret60_ret5_top5_softoff0p2_modes,ret60_ret5_top5_softoff0p1_modes,ret60_ret5_top5_softoff0_modes,equal_weight,benchmark
2014-02-21,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
2014-02-24,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9915752640,0.9780151836
2014-02-25,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9581958515,0.9530183855
2014-02-26,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9625744056,0.9554474029
2014-02-27,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9527261270,0.9513401552
2014-02-28,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9638361254,0.9623193142
2014-03-03,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9789750488,0.9673540050
2014-03-04,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9775785104,0.9646600038
2014-03-05,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9739136216,0.9556991375
2014-03-06,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9755623813,0.9599609591
2014-03-07,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9720198010,0.9576335187
2014-03-10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9370362035,0.9264670162
