rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_riskoff0,ret60_ret5,2022,-0.1064041007
1,ret60_ret5_top5_riskoff0,ret60_ret5,2023,-0.0996571464
1,ret60_ret5_top5_riskoff0,ret60_ret5,2024,0.0923271421
1,ret60_ret5_top5_riskoff0,ret60_ret5,2025,0.1367146587
1,ret60_ret5_top5_riskoff0,ret60_ret5,2026,0.1223162330
2,ret60_ret5_top5_riskoff0p2,ret60_ret5,2021,0.0000000000
2,ret60_ret5_top5_riskoff0p2,ret60_ret5,2022,-0.1064041007
2,ret60_ret5_top5_riskoff0p2,ret60_ret5,2023,-0.0996571464
2,ret60_ret5_top5_riskoff0p2,ret60_ret5,2024,0.0923271421
2,ret60_ret5_top5_riskoff0p2,ret60_ret5,2025,0.1367146587
2,ret60_ret5_top5_riskoff0p2,ret60_ret5,2026,0.1223162330
3,ret60_ret5_top5_riskoff0p3,ret60_ret5,2021,0.0000000000
3,ret60_ret5_top5_riskoff0p3,ret60_ret5,2022,-0.1064041007
3,ret60_ret5_top5_riskoff0p3,ret60_ret5,2023,-0.0996571464
3,ret60_ret5_top5_riskoff0p3,ret60_ret5,2024,0.0923271421
3,ret60_ret5_top5_riskoff0p3,ret60_ret5,2025,0.1367146587
3,ret60_ret5_top5_riskoff0p3,ret60_ret5,2026,0.1223162330
4,ret60_ret5_top5_riskoff0p5,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0p5,ret60_ret5,2022,-0.1064041007
4,ret60_ret5_top5_riskoff0p5,ret60_ret5,2023,-0.0996571464
4,ret60_ret5_top5_riskoff0p5,ret60_ret5,2024,0.0923271421
4,ret60_ret5_top5_riskoff0p5,ret60_ret5,2025,0.1367146587
4,ret60_ret5_top5_riskoff0p5,ret60_ret5,2026,0.1223162330
