rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_riskoff0,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_riskoff0,ret60_ret5,2023,-0.0460502867
1,ret60_ret5_top5_riskoff0,ret60_ret5,2024,0.0855671140
1,ret60_ret5_top5_riskoff0,ret60_ret5,2025,0.1862084782
1,ret60_ret5_top5_riskoff0,ret60_ret5,2026,0.0647373348
2,ret60_ret5_top5_stateaware,ret60_ret5,2021,0.0000000000
2,ret60_ret5_top5_stateaware,ret60_ret5,2022,-0.0103182433
2,ret60_ret5_top5_stateaware,ret60_ret5,2023,0.0180532264
2,ret60_ret5_top5_stateaware,ret60_ret5,2024,0.0460227168
2,ret60_ret5_top5_stateaware,ret60_ret5,2025,0.1358978043
2,ret60_ret5_top5_stateaware,ret60_ret5,2026,0.0837611336
3,ret60_ret5_top5_riskoff0p2,ret60_ret5,2021,0.0000000000
3,ret60_ret5_top5_riskoff0p2,ret60_ret5,2022,-0.0207204211
3,ret60_ret5_top5_riskoff0p2,ret60_ret5,2023,-0.0557626859
3,ret60_ret5_top5_riskoff0p2,ret60_ret5,2024,0.0898789262
3,ret60_ret5_top5_riskoff0p2,ret60_ret5,2025,0.1786612383
3,ret60_ret5_top5_riskoff0p2,ret60_ret5,2026,0.0761381721
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2022,-0.0312018978
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2023,-0.0608166491
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2024,0.0914817913
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2025,0.1744479816
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2026,0.0818604186
5,ret60_ret5_top5_riskoff0p5,ret60_ret5,2021,0.0000000000
5,ret60_ret5_top5_riskoff0p5,ret60_ret5,2022,-0.0523842114
5,ret60_ret5_top5_riskoff0p5,ret60_ret5,2023,-0.0713081342
5,ret60_ret5_top5_riskoff0p5,ret60_ret5,2024,0.0935766398
5,ret60_ret5_top5_riskoff0p5,ret60_ret5,2025,0.1651395500
5,ret60_ret5_top5_riskoff0p5,ret60_ret5,2026,0.0933481789
