removed_factor,enabled_factors,final_equity,annualized_return,max_drawdown,sharpe_ratio,delta_final_equity_vs_all,delta_annualized_return_vs_all,delta_max_drawdown_vs_all,delta_sharpe_ratio_vs_all
ret20,ret60;ret120;amount_strength;breadth20;breadth60;valuation;prosperity;vol20;ret5,1.3054115804,0.1381541318,-0.0217814809,3.4276416739,-0.0137792016,-0.0058174994,0.0015823466,0.0080944455
ret60,ret20;ret120;amount_strength;breadth20;breadth60;valuation;prosperity;vol20;ret5,1.4016915170,0.1781673075,-0.0129959878,4.3829063652,0.0825007349,0.0341956763,0.0103678397,0.9633591369
ret120,ret20;ret60;amount_strength;breadth20;breadth60;valuation;prosperity;vol20;ret5,1.3684086232,0.1644999245,-0.0233638275,4.0190839785,0.0492178412,0.0205282932,0.0000000000,0.5995367502
amount_strength,ret20;ret60;ret120;breadth20;breadth60;valuation;prosperity;vol20;ret5,1.2514316967,0.1150541479,-0.0165993317,2.8284355270,-0.0677590853,-0.0289174833,0.0067644959,-0.5911117014
breadth20,ret20;ret60;ret120;amount_strength;breadth60;valuation;prosperity;vol20;ret5,1.2760998923,0.1256728997,-0.0233638275,3.0056300418,-0.0430908897,-0.0182987315,0.0000000000,-0.4139171866
breadth60,ret20;ret60;ret120;amount_strength;breadth20;valuation;prosperity;vol20;ret5,1.3392428603,0.1523819373,-0.0233638275,3.6582335217,0.0200520782,0.0084103061,0.0000000000,0.2386862933
valuation,ret20;ret60;ret120;amount_strength;breadth20;breadth60;prosperity;vol20;ret5,1.3564907193,0.1595644051,-0.0166726829,3.8431262613,0.0372999372,0.0155927739,0.0066911446,0.4235790329
prosperity,ret20;ret60;ret120;amount_strength;breadth20;breadth60;valuation;vol20;ret5,1.3296567762,0.1483694534,-0.0233638275,3.5892252443,0.0104659941,0.0043978222,-0.0000000000,0.1696780159
vol20,ret20;ret60;ret120;amount_strength;breadth20;breadth60;valuation;prosperity;ret5,1.3349863916,0.1506021209,-0.0193612864,3.6973273194,0.0157956096,0.0066304897,0.0040025411,0.2777800910
ret5,ret20;ret60;ret120;amount_strength;breadth20;breadth60;valuation;prosperity;vol20,1.3379296459,0.1518331355,-0.0165993317,3.5610219307,0.0187388639,0.0078615043,0.0067644959,0.1414747023
