factor,kind,description,enabled_factors,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
all_factors,factor,configured full industry factor model,ret20;ret60;ret120;amount_strength;breadth20;breadth60;valuation;prosperity;vol20;ret5,20,1.3191907820,0.1439716312,-0.0233638275,3.4195472284,6.1621594788,0.7916666667,0.0000000000,0.8450000000,0.0169000000,1.2568149076,0.0496301198,1.0284756250,0.2826660642
price_momentum,factor,20/60/120-day industry momentum,ret20;ret60;ret120,20,1.2540609621,0.1161910469,-0.0211038770,2.8970744949,5.5056730524,0.6666666667,1.0000000000,0.7950000000,0.0159000000,1.2568149076,-0.0021912101,1.0284756250,0.2193395075
ret20,factor,20-day industry momentum,ret20,20,1.3343219491,0.1503240250,-0.0176413281,3.6191978329,8.5211285606,0.5833333333,2.0000000000,1.0250000000,0.0205000000,1.2568149076,0.0616694161,1.0284756250,0.2973782914
ret60,factor,60-day industry momentum,ret60,20,1.1957549513,0.0906843887,-0.0193612864,2.2472768180,4.6837997618,0.7083333333,1.0000000000,0.7050000000,0.0141000000,1.2568149076,-0.0485830936,1.0284756250,0.1626478278
ret120,factor,120-day industry momentum,ret120,20,1.0143982058,0.0069653310,-0.0425726235,0.1915400278,0.1636105644,0.4166666667,4.0000000000,0.5750000000,0.0115000000,1.2568149076,-0.1928817842,1.0284756250,-0.0136876547
amount_strength,factor,20-day versus 120-day amount strength,amount_strength,20,1.3567741846,0.1596820540,-0.0162408505,3.6211197096,9.8321238605,0.5833333333,1.0000000000,0.7950000000,0.0159000000,1.2568149076,0.0795338091,1.0284756250,0.3192088870
breadth,factor,industry breadth composite,breadth20;breadth60,20,1.4921984858,0.2145107199,-0.0151428284,5.1003302982,14.1658291577,0.7500000000,1.0000000000,0.9250000000,0.0185000000,1.2568149076,0.1872857942,1.0284756250,0.4508836666
breadth20,factor,industry MA20 breadth,breadth20,20,1.4794426964,0.2094586039,-0.0208176768,4.7969098966,10.0615743897,0.7500000000,1.0000000000,0.8950000000,0.0179000000,1.2568149076,0.1771364959,1.0284756250,0.4384810494
breadth60,factor,industry MA60 breadth,breadth60,20,1.4728565587,0.2068412949,-0.0151428284,4.7481631024,13.6593567352,0.7500000000,1.0000000000,0.9850000000,0.0197000000,1.2568149076,0.1718961558,1.0284756250,0.4320772636
valuation,factor,"industry valuation percentile, lower is cheaper",valuation,20,1.1334501140,0.0627106753,-0.0564587144,1.6748644434,1.1107350904,0.4583333333,3.0000000000,0.6650000000,0.0133000000,1.2568149076,-0.0981566919,1.0284756250,0.1020680378
prosperity,factor,industry prosperity proxy,prosperity,20,1.3822705935,0.1702127960,-0.0510331138,3.9795545445,3.3353401998,0.7500000000,1.0000000000,1.0150000000,0.0203000000,1.2568149076,0.0998203357,1.0284756250,0.3439993714
fundamental,factor,valuation and prosperity composite,valuation;prosperity,20,1.3217291770,0.1450399116,-0.0296135070,3.8931469218,4.8977620830,0.7083333333,1.0000000000,0.8350000000,0.0167000000,1.2568149076,0.0516498245,1.0284756250,0.2851341781
risk_penalty,factor,volatility and short-term overheating penalties,vol20;ret5,20,1.0213619754,0.0103159010,-0.0614151933,0.2683561453,0.1679698533,0.4166666667,3.0000000000,1.1450000000,0.0229000000,1.2568149076,-0.1873409766,1.0284756250,-0.0069166925
