year,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight
2010,-0.0085294637,-0.1151183940,0.0343289900,0.1065889303,-0.0428584537
2011,-0.1070484439,-0.2501454483,-0.2908554097,0.1430970044,0.1838069658
2012,-0.0051097205,0.0755454569,0.0150529385,-0.0806551774,-0.0201626590
2013,-0.0815908082,-0.0764660417,0.1045589110,-0.0051247665,-0.1861497193
2014,0.4862765325,0.5320997985,0.4314590261,-0.0458232660,0.0548175065
2015,0.2227168519,0.0558308407,0.4437041210,0.1668860112,-0.2209872690
2016,-0.0894743125,-0.1128169392,-0.1243666115,0.0233426267,0.0348922990
2017,-0.0894282965,0.2177530452,-0.0028046066,-0.3071813417,-0.0866236898
2018,0.0117659580,-0.2530998348,-0.3020086450,0.2648657928,0.3137746030
2019,0.0257246137,0.3606961952,0.2727563348,-0.3349715814,-0.2470317211
2020,0.3806252628,0.2721074653,0.2214863732,0.1085177975,0.1591388895
2021,-0.0339830310,-0.0573352945,0.0929343399,0.0233522635,-0.1269173709
2022,0.0000000000,-0.2163279269,-0.1507184204,0.2163279269,0.1507184204
2023,-0.0460502867,-0.1137815339,-0.0687906268,0.0677312472,0.0227403400
2024,0.0855671140,0.1468329491,0.0614410580,-0.0612658351,0.0241260560
2025,0.1862084782,0.1766317400,0.2121926351,0.0095767382,-0.0259841569
2026,0.0647373348,0.0614737988,0.0166117818,0.0032635360,0.0481255530
