industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
有色金属,26,0.1436464088,26,0,0.2000000000
电子,23,0.1270718232,23,0,0.2000000000
家用电器,22,0.1215469613,22,0,0.2000000000
食品饮料,21,0.1160220994,21,0,0.2000000000
国防军工,19,0.1049723757,19,0,0.2000000000
计算机,18,0.0994475138,18,0,0.2000000000
传媒,17,0.0939226519,17,0,0.2000000000
通信,17,0.0939226519,17,0,0.2000000000
综合,16,0.0883977901,16,0,0.2000000000
钢铁,16,0.0883977901,16,0,0.2000000000
非银金融,15,0.0828729282,15,0,0.2000000000
银行,12,0.0662983425,12,0,0.2000000000
休闲服务,11,0.0607734807,11,0,0.2000000000
医药生物,11,0.0607734807,11,0,0.2000000000
机械设备,11,0.0607734807,11,0,0.2000000000
电气设备,11,0.0607734807,11,0,0.2000000000
房地产,9,0.0497237569,9,0,0.2000000000
建筑材料,8,0.0441988950,8,0,0.2000000000
建筑装饰,8,0.0441988950,8,0,0.2000000000
汽车,8,0.0441988950,8,0,0.2000000000
采掘,8,0.0441988950,8,0,0.2000000000
农林牧渔,6,0.0331491713,6,0,0.2000000000
商业贸易,6,0.0331491713,6,0,0.2000000000
建筑建材,6,0.0331491713,6,0,0.2000000000
纺织服装,6,0.0331491713,6,0,0.2000000000
交通运输,5,0.0276243094,5,0,0.2000000000
电力设备,5,0.0276243094,5,0,0.2000000000
石油石化,5,0.0276243094,5,0,0.2000000000
金融服务,5,0.0276243094,5,0,0.2000000000
交运设备,4,0.0220994475,4,0,0.2000000000
煤炭,4,0.0220994475,4,0,0.2000000000
信息设备,3,0.0165745856,3,0,0.2000000000
基础化工,3,0.0165745856,3,0,0.2000000000
社会服务,3,0.0165745856,3,0,0.2000000000
美容护理,3,0.0165745856,3,0,0.2000000000
轻工制造,3,0.0165745856,3,0,0.2000000000
信息服务,2,0.0110497238,2,0,0.2000000000
公用事业,2,0.0110497238,2,0,0.2000000000
化工,2,0.0110497238,2,0,0.2000000000
餐饮旅游,2,0.0110497238,2,0,0.2000000000
黑色金属,2,0.0110497238,2,0,0.2000000000
商贸零售,1,0.0055248619,1,0,0.2000000000
