rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2010,-0.0087279166
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2011,-0.0513572280
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2012,0.0578513454
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2013,-0.0572039564
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2014,0.4862765325
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2015,0.2227168519
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2016,0.0309075083
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2017,-0.0692966537
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2018,0.0000000000
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2019,-0.0950928838
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2020,0.3955913126
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2021,-0.0417714871
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2023,0.0313812526
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2024,0.0027487121
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2025,0.1575994943
1,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2026,0.0433424014
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2010,-0.0085294637
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2011,-0.1070484439
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2012,-0.0463124934
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2013,-0.0992469266
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2014,0.4862765325
