rank,name,segment,start,end,rows,industries,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_top5_riskoff0_mthr0p05,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.9378599099,-0.0160848635,-0.1653820792,-0.0886475099,-0.0972588054,0.1400000000,2.0000000000,0.3727272727,0.0164000000,0.8644708599,0.0848947644,0.6470413523,0.4494589975
1,ret60_ret5_top5_riskoff0_mthr0p05,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.1100261951,0.1045685488,-0.4708478727,0.6497950618,0.2220856349,0.2315789474,4.0000000000,0.3820224719,0.0340000000,2.0300576052,0.0393922762,2.2325408848,-0.0548767955
1,ret60_ret5_top5_riskoff0_mthr0p05,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.2490980538,0.0536253985,-0.1503545535,0.5021651023,0.3566596239,0.2181818182,2.0000000000,0.3375000000,0.0162000000,1.0374609450,0.2039952538,0.9667099414,0.2921125565
1,ret60_ret5_top5_riskoff0_mthr0p05,stitched,2010-01-04,2026-06-02,3965,,181,2.4718513520,0.0592178125,-0.4708478727,0.4628043077,0.1257684615,0.2070707071,4.0000000000,0.3679558011,0.0666000000,1.8206668166,0.3576626593,1.3964572431,0.7700873866
2,ret60_ret5_top5_riskoff0_mthrneg0p05,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.7605356163,-0.0668488742,-0.3145686081,-0.4097877187,-0.2125096799,0.1600000000,3.0000000000,0.5636363636,0.0248000000,0.8644708599,-0.1202298983,0.6470413523,0.1754049623
2,ret60_ret5_top5_riskoff0_mthrneg0p05,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.2300674094,0.1127389887,-0.5169779466,0.6395984052,0.2180731101,0.3684210526,4.0000000000,0.6022471910,0.0536000000,2.0300576052,0.0985242013,2.2325408848,-0.0011079194
2,ret60_ret5_top5_riskoff0_mthrneg0p05,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
2,ret60_ret5_top5_riskoff0_mthrneg0p05,stitched,2010-01-04,2026-06-02,3965,,181,2.2887500012,0.0540481261,-0.5169779466,0.3875671572,0.1045462895,0.3080808081,4.0000000000,0.6000000000,0.1086000000,1.8206668166,0.2570943680,1.3964572431,0.6389689068
3,ret60_ret5_top5_riskoff0_mthr0,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.8089452336,-0.0521801589,-0.2709395254,-0.3406616207,-0.1925896888,0.1600000000,3.0000000000,0.5090909091,0.0224000000,0.8644708599,-0.0642307669,0.6470413523,0.2502218455
3,ret60_ret5_top5_riskoff0_mthr0,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.0854668101,0.1028474612,-0.5482977525,0.6043602415,0.1875759307,0.3368421053,4.0000000000,0.5528089888,0.0492000000,2.0300576052,0.0272944003,2.2325408848,-0.0658774384
3,ret60_ret5_top5_riskoff0_mthr0,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.3079335098,0.0650764702,-0.1725948937,0.5249082578,0.3770474831,0.2909090909,2.0000000000,0.4458333333,0.0214000000,1.0374609450,0.2607062619,0.9667099414,0.3529740968
3,ret60_ret5_top5_riskoff0_mthr0,stitched,2010-01-04,2026-06-02,3965,,181,2.2065210233,0.0515992331,-0.5482977525,0.3874532699,0.0941080515,0.2828282828,4.0000000000,0.5138121547,0.0930000000,1.8206668166,0.2119301583,1.3964572431,0.5800849143
4,ret60_ret5_top5_riskoff0_mthr0p02,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.8089452336,-0.0521801589,-0.2709395254,-0.3406616207,-0.1925896888,0.1600000000,3.0000000000,0.5090909091,0.0224000000,0.8644708599,-0.0642307669,0.6470413523,0.2502218455
4,ret60_ret5_top5_riskoff0_mthr0p02,real_sw2014,2014-02-21,2021-12-10,1893,28,89,1.7825543797,0.0800329085,-0.5681785062,0.5052398695,0.1408587401,0.2736842105,4.0000000000,0.4719101124,0.0420000000,2.0300576052,-0.1219193115,2.2325408848,-0.2015580132
4,ret60_ret5_top5_riskoff0_mthr0p02,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.4140977065,0.0847781421,-0.1725948937,0.6792573358,0.4911972788,0.2909090909,2.0000000000,0.4041666667,0.0194000000,1.0374609450,0.3630370505,0.9667099414,0.4627942115
4,ret60_ret5_top5_riskoff0_mthr0p02,stitched,2010-01-04,2026-06-02,3965,,181,2.0391131525,0.0463376440,-0.5681785062,0.3623974111,0.0815547289,0.2525252525,4.0000000000,0.4629834254,0.0838000000,1.8206668166,0.1199815001,1.3964572431,0.4602045015
5,ret60_ret5_top5_riskoff0_mthrneg0p02,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.6897292272,-0.0896158484,-0.3783827423,-0.5969907777,-0.2368391535,0.1600000000,3.0000000000,0.5818181818,0.0256000000,0.8644708599,-0.2021371000,0.6470413523,0.0659739516
5,ret60_ret5_top5_riskoff0_mthrneg0p02,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.2272364760,0.1125507437,-0.5175911134,0.6420763923,0.2174510744,0.3684210526,4.0000000000,0.5842696629,0.0520000000,2.0300576052,0.0971296925,2.2325408848,-0.0023759515
5,ret60_ret5_top5_riskoff0_mthrneg0p02,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.3239601011,0.0681272514,-0.2860941651,0.4942455227,0.2381287692,0.3272727273,2.0000000000,0.5375000000,0.0258000000,1.0374609450,0.2761541603,0.9667099414,0.3695525870
5,ret60_ret5_top5_riskoff0_mthrneg0p02,stitched,2010-01-04,2026-06-02,3965,,181,2.0338543914,0.0461658904,-0.5175911134,0.3471453853,0.0891937462,0.3080808081,4.0000000000,0.5712707182,0.1034000000,1.8206668166,0.1170931292,1.3964572431,0.4564387141
