date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,汽车;煤炭;美容护理;农林牧渔;食品饮料,汽车:0.1000;煤炭:0.1000;美容护理:0.1000;农林牧渔:0.1000;食品饮料:0.1000,0.500000,0.500000,0.00050000,false,,true,false
2022-07-01,2022-06-30,汽车;电力设备;食品饮料;美容护理;家用电器,食品饮料:0.1250;农林牧渔:0.0750;家用电器:0.0500;电力设备:0.0500;煤炭:0.0750;汽车:0.1250;美容护理:0.1250,0.625000,0.225000,0.00022500,true,,true,true
2022-07-08,2022-07-07,汽车;电力设备;食品饮料;家用电器;美容护理,食品饮料:0.1437;农林牧渔:0.0563;家用电器:0.0875;电力设备:0.0875;煤炭:0.0563;汽车:0.1437;美容护理:0.1437,0.718750,0.168750,0.00016875,true,,true,true
2022-07-15,2022-07-14,电力设备;汽车;公用事业;家用电器;有色金属,食品饮料:0.1078;农林牧渔:0.0422;家用电器:0.0906;公用事业:0.0250;电力设备:0.0906;煤炭:0.0422;汽车:0.1328;有色金属:0.0250;美容护理:0.1078,0.664062,0.167187,0.00016719,false,,true,false
2022-07-22,2022-07-21,电力设备;公用事业;汽车;机械设备;家用电器,食品饮料:0.0809;农林牧渔:0.0316;家用电器:0.0930;公用事业:0.0438;机械设备:0.0250;电力设备:0.0930;煤炭:0.0316;汽车:0.1246;有色金属:0.0188;美容护理:0.0809,0.623047,0.137891,0.00013789,false,,true,false
2022-07-29,2022-07-28,汽车;电力设备;机械设备;国防军工;公用事业,食品饮料:0.0606;农林牧渔:0.0237;家用电器:0.0697;公用事业:0.0578;机械设备:0.0438;电力设备:0.0947;煤炭:0.0237;汽车:0.1185;国防军工:0.0250;有色金属:0.0141;美容护理:0.0606,0.592285,0.149902,0.00014990,false,,true,false
2022-08-05,2022-08-04,汽车;机械设备;美容护理;电力设备;通信,食品饮料:0.0455;农林牧渔:0.0178;家用电器:0.0523;通信:0.0250;公用事业:0.0434;机械设备:0.0578;电力设备:0.0960;煤炭:0.0178;汽车:0.1138;国防军工:0.0188;有色金属:0.0105;美容护理:0.0705,0.569214,0.123511,0.00012351,false,,true,false
2022-08-12,2022-08-11,汽车;机械设备;美容护理;国防军工;电力设备,食品饮料:0.0341;农林牧渔:0.0133;家用电器:0.0392;通信:0.0188;公用事业:0.0325;机械设备:0.0684;电力设备:0.0970;煤炭:0.0133;汽车:0.1104;国防军工:0.0391;有色金属:0.0079;美容护理:0.0779,0.551910,0.095758,0.00009576,false,,true,false
2022-08-19,2022-08-18,机械设备;国防军工;电子;通信;电力设备,食品饮料:0.0256;农林牧渔:0.0100;家用电器:0.0294;通信:0.0391;公用事业:0.0244;机械设备:0.0763;电力设备:0.0978;电子:0.0250;煤炭:0.0100;汽车:0.0828;国防军工:0.0543;有色金属:0.0059;美容护理:0.0584,0.538933,0.151375,0.00015137,false,,true,false
2022-08-26,2022-08-25,电力设备;机械设备;通信;电子;汽车,食品饮料:0.0192;农林牧渔:0.0075;家用电器:0.0221;通信:0.0543;公用事业:0.0183;机械设备:0.0822;电力设备:0.0983;电子:0.0438;煤炭:0.0075;汽车:0.0871;国防军工:0.0407;有色金属:0.0044;美容护理:0.0438,0.529200,0.099286,0.00009929,false,,true,false
2022-09-02,2022-09-01,综合;农林牧渔;公用事业;通信;家用电器,食品饮料:0.0144;农林牧渔:0.0306;家用电器:0.0415;通信:0.0657;综合:0.0250;公用事业:0.0387;机械设备:0.0617;电力设备:0.0737;电子:0.0328;煤炭:0.0056;汽车:0.0653;国防军工:0.0305;有色金属:0.0033;美容护理:0.0328,0.521900,0.206220,0.00020622,false,,true,false
2022-09-09,2022-09-08,综合;家用电器;公用事业;通信;农林牧渔,公用事业:0.0540;机械设备:0.0462;电子:0.0246;汽车:0.0490;国防军工:0.0229;有色金属:0.0025;美容护理:0.0246;食品饮料:0.0108;农林牧渔:0.0480;家用电器:0.0562;通信:0.0743;综合:0.0438;电力设备:0.0553;煤炭:0.0042,0.516425,0.154665,0.00015467,false,,true,false
2022-09-19,2022-09-16,煤炭;公用事业;石油石化;通信;交通运输,公用事业:0.0655;机械设备:0.0347;电子:0.0185;交通运输:0.0250;汽车:0.0367;国防军工:0.0172;有色金属:0.0019;石油石化:0.0250;美容护理:0.0185;食品饮料:0.0081;农林牧渔:0.0360;家用电器:0.0421;通信:0.0807;综合:0.0328;电力设备:0.0415;煤炭:0.0282,0.512319,0.187829,0.00018783,false,,true,false
2022-09-26,2022-09-23,国防军工;石油石化;交通运输;家用电器;通信,公用事业:0.0491;机械设备:0.0260;电子:0.0138;交通运输:0.0438;汽车:0.0276;国防军工:0.0379;有色金属:0.0014;石油石化:0.0438;美容护理:0.0139;食品饮料:0.0061;农林牧渔:0.0270;家用电器:0.0566;通信:0.0855;综合:0.0246;电力设备:0.0311;煤炭:0.0211,0.509239,0.158070,0.00015807,false,,true,false
2022-10-10,2022-09-30,石油石化;煤炭;交通运输;国防军工;综合,公用事业:0.0369;机械设备:0.0195;电子:0.0104;交通运输:0.0578;汽车:0.0207;国防军工:0.0534;有色金属:0.0011;石油石化:0.0578;美容护理:0.0104;食品饮料:0.0046;农林牧渔:0.0202;家用电器:0.0424;通信:0.0642;综合:0.0435;电力设备:0.0233;煤炭:0.0408,0.506929,0.166750,0.00016675,false,,true,false
2022-10-17,2022-10-14,煤炭;交通运输;石油石化;银行;综合,公用事业:0.0276;机械设备:0.0146;电子:0.0078;交通运输:0.0684;汽车:0.0155;国防军工:0.0401;有色金属:0.0008;石油石化:0.0684;美容护理:0.0078;食品饮料:0.0034;农林牧渔:0.0152;家用电器:0.0318;通信:0.0481;综合:0.0576;电力设备:0.0175;煤炭:0.0556;银行:0.0250,0.505197,0.151769,0.00015177,false,,true,false
2022-10-24,2022-10-21,煤炭;交通运输;综合;公用事业;石油石化,公用事业:0.0457;机械设备:0.0110;电子:0.0058;交通运输:0.0763;汽车:0.0116;国防军工:0.0300;有色金属:0.0006;石油石化:0.0763;美容护理:0.0058;食品饮料:0.0026;农林牧渔:0.0114;家用电器:0.0239;通信:0.0361;综合:0.0682;电力设备:0.0131;煤炭:0.0667;银行:0.0188,0.503898,0.112504,0.00011250,false,,true,false
2022-10-31,2022-10-28,综合;交通运输;通信;医药生物;煤炭,公用事业:0.0343;机械设备:0.0082;电子:0.0044;交通运输:0.0822;汽车:0.0087;国防军工:0.0225;有色金属:0.0004;石油石化:0.0572;美容护理:0.0044;食品饮料:0.0019;农林牧渔:0.0085;家用电器:0.0179;通信:0.0521;综合:0.0761;医药生物:0.0250;电力设备:0.0098;煤炭:0.0750;银行:0.0141,0.502923,0.127336,0.00012734,false,,true,false
2022-11-07,2022-11-04,计算机;综合;国防军工;交通运输;通信,公用事业:0.0257;机械设备:0.0062;电子:0.0033;交通运输:0.0867;汽车:0.0065;国防军工:0.0419;有色金属:0.0003;石油石化:0.0429;美容护理:0.0033;食品饮料:0.0014;农林牧渔:0.0064;家用电器:0.0134;通信:0.0640;综合:0.0821;医药生物:0.0188;电力设备:0.0074;煤炭:0.0563;银行:0.0105;计算机:0.0250,0.502192,0.134257,0.00013426,false,,true,false
2022-11-14,2022-11-11,社会服务;综合;计算机;医药生物;交通运输,公用事业:0.0193;机械设备:0.0046;电子:0.0025;交通运输:0.0900;汽车:0.0049;国防军工:0.0314;有色金属:0.0003;石油石化:0.0322;美容护理:0.0025;食品饮料:0.0011;农林牧渔:0.0048;家用电器:0.0101;通信:0.0480;综合:0.0866;医药生物:0.0391;电力设备:0.0055;煤炭:0.0422;银行:0.0079;社会服务:0.0250;计算机:0.0438,0.501644,0.144293,0.00014429,false,,true,false
2022-11-21,2022-11-18,社会服务;计算机;医药生物;综合;商贸零售,商贸零售:0.0250;公用事业:0.0145;机械设备:0.0035;电子:0.0018;交通运输:0.0675;汽车:0.0037;国防军工:0.0236;有色金属:0.0002;石油石化:0.0241;美容护理:0.0018;食品饮料:0.0008;农林牧渔:0.0036;家用电器:0.0076;通信:0.0360;综合:0.0899;医药生物:0.0543;电力设备:0.0042;煤炭:0.0317;银行:0.0059;社会服务:0.0438;计算机:0.0578,0.501233,0.153214,0.00015321,false,,true,false
2022-11-28,2022-11-25,医药生物;计算机;社会服务;综合;轻工制造,商贸零售:0.0188;公用事业:0.0109;机械设备:0.0026;电子:0.0014;交通运输:0.0506;汽车:0.0028;国防军工:0.0177;有色金属:0.0001;石油石化:0.0181;美容护理:0.0014;食品饮料:0.0006;农林牧渔:0.0027;家用电器:0.0057;通信:0.0270;综合:0.0925;医药生物:0.0657;轻工制造:0.0250;电力设备:0.0031;煤炭:0.0237;银行:0.0044;社会服务:0.0578;计算机:0.0684,0.500925,0.127410,0.00012741,false,,true,false
2022-12-05,2022-12-02,计算机;医药生物;社会服务;综合;建筑装饰,建筑装饰:0.0250;商贸零售:0.0141;公用事业:0.0081;机械设备:0.0020;电子:0.0010;交通运输:0.0380;汽车:0.0021;国防军工:0.0133;有色金属:0.0001;石油石化:0.0136;美容护理:0.0010;食品饮料:0.0005;农林牧渔:0.0020;家用电器:0.0042;通信:0.0203;综合:0.0943;医药生物:0.0743;轻工制造:0.0188;电力设备:0.0023;煤炭:0.0178;银行:0.0033;社会服务:0.0684;计算机:0.0763,0.500694,0.108058,0.00010806,false,,true,false
2022-12-12,2022-12-09,社会服务;医药生物;计算机;综合;商贸零售,建筑装饰:0.0188;商贸零售:0.0355;公用事业:0.0061;机械设备:0.0015;电子:0.0008;交通运输:0.0285;汽车:0.0016;国防军工:0.0099;有色金属:0.0001;石油石化:0.0102;美容护理:0.0008;食品饮料:0.0003;农林牧渔:0.0015;家用电器:0.0032;通信:0.0152;综合:0.0958;医药生物:0.0807;轻工制造:0.0141;电力设备:0.0018;煤炭:0.0134;银行:0.0025;社会服务:0.0763;计算机:0.0822,0.500520,0.086512,0.00008651,false,,true,false
2022-12-19,2022-12-16,综合;商贸零售;社会服务;医药生物;交通运输,建筑装饰:0.0141;商贸零售:0.0517;公用事业:0.0046;机械设备:0.0011;电子:0.0006;交通运输:0.0464;汽车:0.0012;国防军工:0.0075;有色金属:0.0001;石油石化:0.0076;美容护理:0.0006;食品饮料:0.0003;农林牧渔:0.0011;家用电器:0.0024;通信:0.0114;综合:0.0968;医药生物:0.0855;轻工制造:0.0105;电力设备:0.0013;煤炭:0.0100;银行:0.0019;社会服务:0.0822;计算机:0.0617,0.500390,0.091749,0.00009175,false,,true,false
2022-12-26,2022-12-23,社会服务;医药生物;商贸零售;综合;纺织服饰,建筑装饰:0.0105;商贸零售:0.0637;公用事业:0.0034;机械设备:0.0008;电子:0.0004;交通运输:0.0348;纺织服饰:0.0250;汽车:0.0009;国防军工:0.0056;有色金属:0.0000;石油石化:0.0057;美容护理:0.0004;食品饮料:0.0002;农林牧渔:0.0009;家用电器:0.0018;通信:0.0085;综合:0.0976;医药生物:0.0892;轻工制造:0.0079;电力设备:0.0010;煤炭:0.0075;银行:0.0014;社会服务:0.0867;计算机:0.0462,0.500293,0.091989,0.00009199,false,,true,false
2023-01-03,2022-12-30,社会服务;商贸零售;综合;传媒;轻工制造,建筑装饰:0.0079;商贸零售:0.0728;公用事业:0.0026;机械设备:0.0006;传媒:0.0250;电子:0.0003;交通运输:0.0261;纺织服饰:0.0188;汽车:0.0007;国防军工:0.0042;有色金属:0.0000;石油石化:0.0043;美容护理:0.0003;食品饮料:0.0001;农林牧渔:0.0006;家用电器:0.0013;通信:0.0064;综合:0.0982;医药生物:0.0669;轻工制造:0.0309;电力设备:0.0007;煤炭:0.0056;银行:0.0011;社会服务:0.0900;计算机:0.0347,0.500219,0.122114,0.00012211,false,,true,false
2023-01-10,2023-01-09,社会服务;商贸零售;综合;传媒;美容护理,建筑装饰:0.0059;商贸零售:0.1046;公用事业:0.0019;机械设备:0.0005;传媒:0.0688;电子:0.0002;交通运输:0.0196;纺织服饰:0.0141;汽车:0.0005;国防军工:0.0031;有色金属:0.0000;石油石化:0.0032;美容护理:0.0502;食品饮料:0.0001;农林牧渔:0.0005;家用电器:0.0010;通信:0.0048;综合:0.1237;医药生物:0.0501;轻工制造:0.0232;电力设备:0.0006;煤炭:0.0042;银行:0.0008;社会服务:0.1175;计算机:0.0260,0.625165,0.231887,0.00023189,true,,true,true
2023-01-17,2023-01-16,社会服务;传媒;轻工制造;美容护理;食品饮料,建筑装饰:0.0044;商贸零售:0.0785;公用事业:0.0014;机械设备:0.0003;传媒:0.1016;电子:0.0002;交通运输:0.0147;纺织服饰:0.0105;汽车:0.0004;国防军工:0.0024;有色金属:0.0000;石油石化:0.0024;美容护理:0.0877;食品饮料:0.0501;农林牧渔:0.0004;家用电器:0.0008;通信:0.0036;综合:0.0927;医药生物:0.0376;轻工制造:0.0674;电力设备:0.0004;煤炭:0.0032;银行:0.0006;社会服务:0.1381;计算机:0.0195,0.718873,0.276393,0.00027639,true,,true,true
2023-01-31,2023-01-30,食品饮料;非银金融;传媒;家用电器;美容护理,建筑装饰:0.0033;商贸零售:0.0588;公用事业:0.0011;机械设备:0.0003;传媒:0.1262;电子:0.0001;交通运输:0.0110;纺织服饰:0.0079;汽车:0.0003;国防军工:0.0018;有色金属:0.0000;石油石化:0.0018;美容护理:0.1158;食品饮料:0.0876;农林牧渔:0.0003;家用电器:0.0506;通信:0.0027;综合:0.0696;医药生物:0.0282;轻工制造:0.0505;电力设备:0.0003;煤炭:0.0024;银行:0.0004;非银金融:0.0500;社会服务:0.1036;计算机:0.0146,0.789155,0.309676,0.00030968,true,,true,true
2023-02-07,2023-02-06,非银金融;食品饮料;传媒;计算机;银行,建筑装饰:0.0025;商贸零售:0.0441;公用事业:0.0008;机械设备:0.0002;传媒:0.1446;电子:0.0001;交通运输:0.0083;纺织服饰:0.0059;汽车:0.0002;国防军工:0.0013;有色金属:0.0000;石油石化:0.0014;美容护理:0.0868;食品饮料:0.1157;农林牧渔:0.0002;家用电器:0.0379;通信:0.0020;综合:0.0522;医药生物:0.0212;轻工制造:0.0379;电力设备:0.0002;煤炭:0.0018;银行:0.0503;非银金融:0.0875;社会服务:0.0777;计算机:0.0610,0.841866,0.307885,0.00030788,true,,true,true
