date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0071053403,-0.0361133802,-0.0048750151,0.0290080400,-0.0022303252,0.3000000000,0.3000000000,0.0003000000,false,false,0.0420434399,true,煤炭;汽车;美容护理
2022-07-22,2022-07-21,2022-08-18,19,27,0.0119698770,-0.0137156313,0.0071917747,0.0256855082,0.0047781023,0.3000000000,0.5283693002,0.0005283693,false,false,0.0740440180,true,电力设备;汽车;公用事业
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0201432420,-0.0526105317,-0.0509477209,0.0324672897,0.0308044789,0.3000000000,0.4447071782,0.0004447072,false,false,0.0946746318,true,国防军工;美容护理;电力设备
2022-09-19,2022-09-16,2022-10-21,19,32,0.0018024182,-0.0471257637,-0.0240833264,0.0489281819,0.0258857446,0.3000000000,0.6000000000,0.0006000000,false,false,-0.0972134975,false,煤炭;通信;综合
2022-10-24,2022-10-21,2022-11-18,19,25,-0.0073228765,0.0462931108,0.0540758266,-0.0536159873,-0.0613987031,0.3000000000,0.2339845647,0.0002339846,false,false,-0.1129130554,false,煤炭;综合;石油石化
2022-11-21,2022-11-18,2022-12-16,19,25,0.0254722213,0.0491094762,0.0263493293,-0.0236372549,-0.0008771080,0.3000000000,0.5047460783,0.0005047461,false,false,-0.0971876906,false,社会服务;综合;商贸零售
2022-12-19,2022-12-16,2023-01-16,19,28,0.0127549122,0.0628631313,0.0356664886,-0.0501082191,-0.0229115765,0.3000000000,0.4430635015,0.0004430635,false,false,0.0070935879,true,综合;医药生物;计算机
2023-01-17,2023-01-16,2023-02-20,19,34,0.0466435830,-0.0009064014,0.0344560272,0.0475499844,0.0121875559,0.9000000000,1.2000000000,0.0012000000,true,true,0.0850041175,true,社会服务;传媒;食品饮料
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0760500768,-0.0495300831,-0.0418430639,-0.0265199937,-0.0342070129,0.9000000000,0.6000000000,0.0006000000,true,true,0.0704275351,true,食品饮料;美容护理;社会服务
2023-03-21,2023-03-20,2023-04-18,19,28,0.0259942871,0.0451112149,0.0252105875,-0.0191169278,0.0007836996,0.3000000000,1.2000000000,0.0012000000,false,true,-0.0057165123,false,计算机;通信;国防军工
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0500514417,-0.0436458677,-0.0429302352,-0.0064055740,-0.0071212066,0.9000000000,0.6578700201,0.0006578700,true,true,0.0029569771,true,传媒;计算机;通信
2023-05-22,2023-05-19,2023-06-16,19,25,0.0435046431,-0.0015065515,0.0066119021,0.0450111946,0.0368927410,0.3000000000,0.6432057801,0.0006432058,false,false,-0.0528424182,false,传媒;建筑装饰;通信
2023-06-19,2023-06-16,2023-07-18,19,29,-0.0420195174,-0.0193263138,-0.0142431962,-0.0226932037,-0.0277763212,0.3000000000,0.1272177004,0.0001272177,false,false,0.0022073672,true,传媒;通信;银行
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0137612401,-0.0011244212,-0.0094842256,-0.0126368188,-0.0042770144,0.3000000000,0.5090141806,0.0005090142,false,false,-0.0741789193,false,汽车;公用事业;通信
2023-08-16,2023-08-15,2023-09-13,19,28,0.0012476078,-0.0213915508,-0.0120255590,0.0226391586,0.0132731668,0.3000000000,0.1820211063,0.0001820211,false,false,-0.0331003731,false,汽车;通信;非银金融
2023-09-14,2023-09-13,2023-10-19,19,35,-0.0143316450,-0.0535608583,-0.0525957732,0.0392292133,0.0382641282,0.3000000000,0.4809237007,0.0004809237,false,false,-0.0689296780,false,钢铁;轻工制造;非银金融
2023-10-20,2023-10-19,2023-11-16,19,27,0.0062135638,0.0175953330,0.0394420983,-0.0113817691,-0.0332285344,0.3000000000,0.6000000000,0.0006000000,false,false,-0.0932170866,false,煤炭;银行;医药生物
2023-11-17,2023-11-16,2023-12-14,19,27,0.0003820683,-0.0605677579,-0.0302132648,0.0609498262,0.0305953331,0.3000000000,0.1986381712,0.0001986382,false,false,-0.0626648810,false,煤炭;电子;医药生物
2023-12-15,2023-12-14,2024-01-12,19,28,-0.0278533667,-0.0171716718,-0.0311019876,-0.0106816949,0.0032486209,0.3000000000,0.4170415453,0.0004170415,false,false,-0.0835331525,false,传媒;医药生物;农林牧渔
2024-01-15,2024-01-12,2024-02-19,19,35,0.0017521066,0.0374559575,-0.0565571171,-0.0357038509,0.0583092237,0.3000000000,0.4975093903,0.0004975094,false,false,-0.0654066382,false,煤炭;综合;农林牧渔
2024-02-20,2024-02-19,2024-03-18,19,27,-0.0052754268,0.0564903177,0.0869431757,-0.0617657445,-0.0922186025,0.3000000000,0.2674101685,0.0002674102,false,false,-0.0827435139,false,煤炭;银行;公用事业
2024-03-19,2024-03-18,2024-04-17,19,29,0.0555783524,-0.0034184642,-0.0320695631,0.0589968166,0.0876479154,0.9000000000,0.6819029747,0.0006819030,true,true,0.0460135686,true,煤炭;家用电器;银行
2024-04-18,2024-04-17,2024-05-20,19,32,0.0208943225,0.0339402768,0.0505677941,-0.0130459543,-0.0296734716,0.9000000000,1.2000000000,0.0012000000,true,true,0.0484403585,true,有色金属;石油石化;银行
2024-05-21,2024-05-20,2024-06-18,19,28,-0.0409807795,-0.0355180406,-0.0650255961,-0.0054627389,0.0240448166,0.9000000000,1.2000000000,0.0012000000,true,true,0.0868992545,true,有色金属;家用电器;汽车
2024-06-19,2024-06-18,2024-07-16,19,27,-0.0036282673,-0.0086347857,-0.0437942376,0.0050065184,0.0401659703,0.3000000000,1.2000000000,0.0012000000,false,true,-0.0350828685,false,公用事业;煤炭;银行
2024-07-17,2024-07-16,2024-08-13,19,27,-0.0160193789,-0.0477470171,-0.0215110916,0.0317276382,0.0054917127,0.3000000000,0.3882297373,0.0003882297,false,false,-0.0360635975,false,公用事业;电子;通信
2024-08-14,2024-08-13,2024-09-10,19,27,-0.0169355250,-0.0342918616,-0.0392887651,0.0173563366,0.0223532401,0.3000000000,0.2314365216,0.0002314365,false,false,-0.1143169997,false,国防军工;公用事业;电子
2024-09-11,2024-09-10,2024-10-17,19,36,0.0700659961,0.1889722014,0.2000145669,-0.1189062053,-0.1299485708,0.3000000000,0.6000000000,0.0006000000,false,false,-0.1131414107,false,银行;综合;非银金融
2024-10-18,2024-10-17,2024-11-14,19,27,0.1011114572,0.0291422413,0.0726993680,0.0719692158,0.0284120891,0.9000000000,1.0238153113,0.0010238153,true,true,0.1145007375,true,非银金融;计算机;电力设备
2024-11-15,2024-11-14,2024-12-12,19,27,0.0436154402,0.0150346576,0.0638076744,0.0285807826,-0.0201922342,0.9000000000,0.6000000000,0.0006000000,true,true,0.2779407363,true,非银金融;房地产;计算机
2024-12-13,2024-12-12,2025-01-10,19,28,-0.1323611433,-0.0510274129,-0.1108160224,-0.0813337303,-0.0215451209,0.9000000000,0.6000000000,0.0006000000,true,true,0.3340605157,true,计算机;综合;房地产
2025-01-13,2025-01-10,2025-02-17,19,35,0.0212016684,0.0604135382,0.0816326761,-0.0392118698,-0.0604310077,0.3000000000,1.0623885655,0.0010623886,false,true,-0.0134313912,false,商贸零售;综合;纺织服饰
2025-02-18,2025-02-17,2025-03-17,19,27,0.0194078686,0.0214706679,0.0513191949,-0.0020627993,-0.0319113263,0.3000000000,0.4623885655,0.0004623886,false,true,-0.0236898617,false,汽车;机械设备;综合
2025-03-18,2025-03-17,2025-04-15,19,28,-0.0424350572,-0.0615037977,-0.0678804699,0.0190687405,0.0254454127,0.3000000000,0.4169711791,0.0004169712,false,true,-0.0112610197,false,机械设备;电子;计算机
2025-04-16,2025-04-15,2025-05-16,19,30,-0.0046792943,0.0308177968,0.0371427598,-0.0354970910,-0.0418220541,0.3000000000,0.6000000000,0.0006000000,false,false,0.0101238189,true,农林牧渔;社会服务;食品饮料
2025-05-19,2025-05-16,2025-06-16,19,28,-0.0068191125,-0.0008640367,0.0054593686,-0.0059550758,-0.0122784811,0.3000000000,0.5203134524,0.0005203135,false,true,-0.0299813692,false,国防军工;美容护理;食品饮料
2025-06-17,2025-06-16,2025-07-14,19,27,0.0088242679,0.0380556948,0.0417732915,-0.0292314269,-0.0329490235,0.3000000000,0.4078046942,0.0004078047,false,true,-0.0418067787,false,医药生物;银行;美容护理
2025-07-15,2025-07-14,2025-08-11,19,27,0.0475099936,0.0257398496,0.0538011080,0.0217701440,-0.0062911144,0.9000000000,0.9985473633,0.0009985474,true,true,0.0886271021,true,银行;国防军工;综合
2025-08-12,2025-08-11,2025-09-08,19,27,0.1035198188,0.0781257918,0.0526241150,0.0253940269,0.0508957038,0.9000000000,1.8000000000,0.0018000000,true,true,0.0949241670,true,医药生物;通信;传媒
2025-09-09,2025-09-08,2025-10-14,19,35,0.0146758891,0.0231726725,0.0075713449,-0.0084967834,0.0071045441,0.9000000000,1.2000000000,0.0012000000,true,true,0.2140629277,true,通信;电子;综合
2025-10-15,2025-10-14,2025-11-11,19,27,0.0331371554,0.0099602934,0.0190995494,0.0231768620,0.0140376060,0.9000000000,0.6000000000,0.0006000000,true,true,0.1748422725,true,通信;电子;电力设备
2025-11-12,2025-11-11,2025-12-09,19,27,0.0363291996,-0.0102649427,-0.0194602161,0.0465941423,0.0557894157,0.9000000000,0.0000000000,0.0000000000,true,true,0.1607031639,true,通信;电子;电力设备
2025-12-10,2025-12-09,2026-01-08,19,29,0.0581315097,0.0317564021,0.0498497750,0.0263751075,0.0082817347,0.9000000000,1.2000000000,0.0012000000,true,true,0.0398868244,true,有色金属;煤炭;通信
2026-01-09,2026-01-08,2026-02-05,19,27,0.0096672996,-0.0185966564,0.0071101701,0.0282639560,0.0025571295,0.9000000000,1.2000000000,0.0012000000,true,true,0.0664292385,true,通信;石油石化;国防军工
2026-02-06,2026-02-05,2026-03-13,19,35,0.0258343093,0.0055000431,0.0129136735,0.0203342663,0.0129206358,0.9000000000,0.6000000000,0.0006000000,true,true,0.0242716700,true,有色金属;国防军工;石油石化
2026-03-16,2026-03-13,2026-04-13,19,28,-0.0278366114,-0.0054392965,-0.0340347914,-0.0223973149,0.0061981799,0.9000000000,0.0000000000,0.0000000000,true,true,0.0355856069,true,石油石化;有色金属;国防军工
2026-04-14,2026-04-13,2026-05-14,19,30,0.0063876495,0.0453748766,0.0293126965,-0.0389872272,-0.0229250471,0.3000000000,0.8640304090,0.0008640304,false,true,-0.0011463577,false,石油石化;煤炭;通信
2026-05-15,2026-05-14,2026-06-02,12,18,0.0163681615,0.0113116539,-0.0369764977,0.0050565077,0.0533446592,0.9000000000,1.0897578252,0.0010897578,true,true,0.0868252220,true,综合;通信;电子
