date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理,煤炭:0.1953;汽车:0.0595;美容护理:0.0452,0.300000,0.300000,0.00030000,false,0.04204344,true,false
2022-07-22,2022-07-21,电力设备;汽车;公用事业,电力设备:0.2483;汽车:0.0358;公用事业:0.0159,0.300000,0.528369,0.00052837,false,0.07404402,true,false
2022-08-19,2022-08-18,国防军工;美容护理;电力设备,国防军工:0.1265;美容护理:0.0958;电力设备:0.0776,0.300000,0.444707,0.00044471,false,0.09467463,true,false
2022-09-19,2022-09-16,煤炭;通信;综合,煤炭:0.1354;通信:0.0846;综合:0.0800,0.300000,0.600000,0.00060000,false,-0.09721350,false,false
2022-10-24,2022-10-21,煤炭;综合;石油石化,煤炭:0.2073;综合:0.0476;石油石化:0.0451,0.300000,0.233985,0.00023398,false,-0.11291306,false,false
2022-11-21,2022-11-18,社会服务;综合;商贸零售,社会服务:0.1686;综合:0.0785;商贸零售:0.0530,0.300000,0.504746,0.00050475,false,-0.09718769,false,false
2022-12-19,2022-12-16,综合;医药生物;计算机,综合:0.1239;医药生物:0.1069;计算机:0.0692,0.300000,0.443064,0.00044306,false,0.00709359,true,false
2023-01-17,2023-01-16,社会服务;传媒;食品饮料,社会服务:0.3000;传媒:0.3000;食品饮料:0.3000,0.900000,1.200000,0.00120000,true,0.08500412,true,true
2023-02-21,2023-02-20,食品饮料;美容护理;社会服务,食品饮料:0.3000;美容护理:0.3000;社会服务:0.3000,0.900000,0.600000,0.00060000,true,0.07042754,true,true
2023-03-21,2023-03-20,计算机;通信;国防军工,计算机:0.1402;通信:0.1308;国防军工:0.0289,0.300000,1.200000,0.00120000,true,-0.00571651,false,false
2023-04-19,2023-04-18,传媒;计算机;通信,传媒:0.3000;计算机:0.3000;通信:0.3000,0.900000,0.657870,0.00065787,true,0.00295698,true,true
2023-05-22,2023-05-19,传媒;建筑装饰;通信,传媒:0.2668;建筑装饰:0.0216;通信:0.0116,0.300000,0.643206,0.00064321,false,-0.05284242,false,false
2023-06-19,2023-06-16,传媒;通信;银行,传媒:0.2248;通信:0.0455;银行:0.0297,0.300000,0.127218,0.00012722,false,0.00220737,true,false
2023-07-19,2023-07-18,汽车;公用事业;通信,汽车:0.1990;公用事业:0.0551;通信:0.0459,0.300000,0.509014,0.00050901,false,-0.07417892,false,false
2023-08-16,2023-08-15,汽车;通信;非银金融,汽车:0.1631;通信:0.0773;非银金融:0.0595,0.300000,0.182021,0.00018202,false,-0.03310037,false,false
2023-09-14,2023-09-13,钢铁;轻工制造;非银金融,钢铁:0.1179;轻工制造:0.0944;非银金融:0.0877,0.300000,0.480924,0.00048092,false,-0.06892968,false,false
2023-10-20,2023-10-19,煤炭;银行;医药生物,煤炭:0.1145;银行:0.0957;医药生物:0.0898,0.300000,0.600000,0.00060000,false,-0.09321709,false,false
2023-11-17,2023-11-16,煤炭;电子;医药生物,煤炭:0.1109;电子:0.0976;医药生物:0.0915,0.300000,0.198638,0.00019864,false,-0.06266488,false,false
2023-12-15,2023-12-14,传媒;医药生物;农林牧渔,传媒:0.1127;医药生物:0.1009;农林牧渔:0.0864,0.300000,0.417042,0.00041704,false,-0.08353315,false,false
2024-01-15,2024-01-12,煤炭;综合;农林牧渔,煤炭:0.1966;综合:0.0521;农林牧渔:0.0512,0.300000,0.497509,0.00049751,false,-0.06540664,false,false
2024-02-20,2024-02-19,煤炭;银行;公用事业,煤炭:0.1663;银行:0.0928;公用事业:0.0410,0.300000,0.267410,0.00026741,false,-0.08274351,false,false
2024-03-19,2024-03-18,煤炭;家用电器;银行,煤炭:0.3000;家用电器:0.3000;银行:0.3000,0.900000,0.681903,0.00068190,true,0.04601357,true,true
2024-04-18,2024-04-17,有色金属;石油石化;银行,有色金属:0.3000;石油石化:0.3000;银行:0.3000,0.900000,1.200000,0.00120000,true,0.04844036,true,true
2024-05-21,2024-05-20,有色金属;家用电器;汽车,有色金属:0.3000;家用电器:0.3000;汽车:0.3000,0.900000,1.200000,0.00120000,true,0.08689925,true,true
2024-06-19,2024-06-18,公用事业;煤炭;银行,公用事业:0.1059;煤炭:0.1001;银行:0.0940,0.300000,1.200000,0.00120000,true,-0.03508287,false,false
2024-07-17,2024-07-16,公用事业;电子;通信,公用事业:0.1319;电子:0.0841;通信:0.0841,0.300000,0.388230,0.00038823,false,-0.03606360,false,false
2024-08-14,2024-08-13,国防军工;公用事业;电子,国防军工:0.1157;公用事业:0.1061;电子:0.0782,0.300000,0.231437,0.00023144,false,-0.11431700,false,false
2024-09-11,2024-09-10,银行;综合;非银金融,银行:0.1151;综合:0.0968;非银金融:0.0881,0.300000,0.600000,0.00060000,false,-0.11314141,false,false
2024-10-18,2024-10-17,非银金融;计算机;电力设备,非银金融:0.3000;计算机:0.3000;电力设备:0.3000,0.900000,1.023815,0.00102382,true,0.11450074,true,true
2024-11-15,2024-11-14,非银金融;房地产;计算机,非银金融:0.3000;房地产:0.3000;计算机:0.3000,0.900000,0.600000,0.00060000,true,0.27794074,true,true
2024-12-13,2024-12-12,计算机;综合;房地产,计算机:0.3000;综合:0.3000;房地产:0.3000,0.900000,0.600000,0.00060000,true,0.33406052,true,true
2025-01-13,2025-01-10,商贸零售;综合;纺织服饰,商贸零售:0.2166;综合:0.0688;纺织服饰:0.0146,0.300000,1.062389,0.00106239,true,-0.01343139,false,false
2025-02-18,2025-02-17,汽车;机械设备;综合,汽车:0.1208;机械设备:0.0915;综合:0.0877,0.300000,0.462389,0.00046239,true,-0.02368986,false,false
