fold,date,segment,selected_name,strategy,equal_weight,benchmark
1,2014-02-21,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,1.0000000000,1.0000000000
1,2014-02-24,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9905623337,0.9780151836
1,2014-02-25,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9573287620,0.9530183855
1,2014-02-26,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9605195643,0.9554474029
1,2014-02-27,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9504942212,0.9513401552
1,2014-02-28,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9624284842,0.9623193142
1,2014-03-03,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9776509536,0.9673540050
1,2014-03-04,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9765273502,0.9646600038
1,2014-03-05,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9712177355,0.9556991375
1,2014-03-06,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9729593670,0.9599609591
1,2014-03-07,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9694882501,0.9576335187
1,2014-03-10,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9351714556,0.9264670162
1,2014-03-11,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9367762776,0.9312676380
1,2014-03-12,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9371794036,0.9336834063
1,2014-03-13,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9486525855,0.9452543623
1,2014-03-14,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9442138448,0.9375300867
1,2014-03-17,train,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,1.0000000000,0.9598760877,0.9464512055
