section,name,value
summary,folds,19
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2026-02-11
test_mean,final_equity,1.0093163588
test_median,final_equity,1.0000000000
test_std,final_equity,0.1093593742
train_mean,final_equity,1.2274150150
train_median,final_equity,1.1343505401
train_std,final_equity,0.2880025924
test_mean,annualized_return,0.0311200365
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.2240432069
bootstrap_ci_lower,annualized_return,-0.0683585897
bootstrap_ci_upper,annualized_return,0.1345307643
bootstrap_p_positive,annualized_return,0.7179000000
train_mean,annualized_return,0.1011776313
train_median,annualized_return,0.0651924066
train_std,annualized_return,0.1240398899
test_mean,max_drawdown,-0.0979110870
test_median,max_drawdown,-0.0873542290
test_std,max_drawdown,0.0726982500
train_mean,max_drawdown,-0.2068467917
train_median,max_drawdown,-0.1672493353
train_std,max_drawdown,0.1088967283
test_mean,sharpe_ratio,0.0714586994
test_median,sharpe_ratio,0.0000000000
test_std,sharpe_ratio,1.2085062618
train_mean,sharpe_ratio,0.5337003106
train_median,sharpe_ratio,0.5323725922
train_std,sharpe_ratio,0.5023561923
test_mean,calmar_ratio,0.7487735521
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,2.2638521123
train_mean,calmar_ratio,0.4930264491
train_median,calmar_ratio,0.4902339006
train_std,calmar_ratio,0.5243910534
test_mean,monthly_win_rate,0.3355263158
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2793330481
train_mean,monthly_win_rate,0.3596431249
train_median,monthly_win_rate,0.3461538462
train_std,monthly_win_rate,0.1636020443
test_mean,max_consecutive_losing_months,1.5789473684
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,1.4623625252
train_mean,max_consecutive_losing_months,2.4210526316
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.9355994123
test_mean,average_turnover,0.5864529940
test_median,average_turnover,0.6666666667
test_std,average_turnover,0.2997690829
train_mean,average_turnover,0.5168078694
train_median,average_turnover,0.4560000000
train_std,average_turnover,0.1769763846
test_mean,total_transaction_cost,0.0036911359
test_median,total_transaction_cost,0.0040000000
test_std,total_transaction_cost,0.0019049939
train_mean,total_transaction_cost,0.0129021805
train_median,total_transaction_cost,0.0114000000
train_std,total_transaction_cost,0.0045694131
test_mean,equal_weight_final_equity,1.0297636059
test_median,equal_weight_final_equity,1.0344868101
test_std,equal_weight_final_equity,0.1296406867
train_mean,equal_weight_final_equity,1.0870211382
train_median,equal_weight_final_equity,1.0409532751
train_std,equal_weight_final_equity,0.2644543186
test_mean,excess_return_vs_equal_weight,-0.0123838459
test_median,excess_return_vs_equal_weight,0.0053084889
test_std,excess_return_vs_equal_weight,0.0995011929
train_mean,excess_return_vs_equal_weight,0.1442662387
train_median,excess_return_vs_equal_weight,0.1513821265
train_std,excess_return_vs_equal_weight,0.1545707074
test_mean,benchmark_final_equity,1.0282535282
test_median,benchmark_final_equity,1.0418327786
test_std,benchmark_final_equity,0.1178725398
train_mean,benchmark_final_equity,1.0827032981
train_median,benchmark_final_equity,1.0633623552
train_std,benchmark_final_equity,0.2413943508
test_mean,excess_return_vs_benchmark,-0.0111999497
test_median,excess_return_vs_benchmark,-0.0171545308
test_std,excess_return_vs_benchmark,0.1141122831
train_mean,excess_return_vs_benchmark,0.1529252161
train_median,excess_return_vs_benchmark,0.0708518817
train_std,excess_return_vs_benchmark,0.2070708190
selection_count,ret60_ret5_top8_riskoff0_modeh_riskctrl1_mscore0,4
selection_count,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,3
selection_count,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore1,3
selection_count,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,3
selection_count,ret60_ret5_top3_riskoff0_modeh_riskctrl0_mscore0,1
selection_count,ret60_ret5_top3_riskoff0_modeh_riskctrl0_mscore1,1
selection_count,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore0,1
selection_count,ret60_ret5_top3_riskoff0p5_modeh_riskctrl1_mscore0,1
selection_count,ret60_ret5_top3_softoff0p2_modes_riskctrl0_mscore1,1
selection_count,ret60_ret5_top8_riskoff0_modeh_riskctrl0_mscore1,1
