rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_ret5_top8_riskoff0_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.000000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
2,ret60_ret5_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.200000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
3,ret60_ret5_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.300000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
4,ret60_ret5_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.500000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
5,ret60_ret5_top5_riskoff0p5_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.500000,false,true,0.000000,4,2024-01-18,2026-02-24,1.4483915714,1.4498270513,-0.0009901043,1.4419284927,0.0044822463
6,ret60_ret5_top5_riskoff0p3_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.300000,false,true,0.000000,4,2024-01-18,2026-02-24,1.4451046338,1.4498270513,-0.0032572282,1.4419284927,0.0022027036
7,ret60_ret5_top5_riskoff0p2_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.200000,false,true,0.000000,4,2024-01-18,2026-02-24,1.4421997719,1.4498270513,-0.0052608202,1.4419284927,0.0001881364
8,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
9,ret60_ret5_top5_riskoff0p2_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.200000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
10,ret60_ret5_top5_riskoff0p3_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.300000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
11,ret60_ret5_top5_riskoff0p5_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.500000,false,false,0.000000,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
12,ret60_ret5_top5_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.500000,true,true,0.000000,4,2024-01-18,2026-02-24,1.4358998346,1.4498270513,-0.0096061228,1.4419284927,-0.0041809688
