fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,1,true,composite,-1.0512328913,-1.7163838970,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2021-12-13,2024-01-17,2024-02-23,2024-08-26,0.9269621569,-0.0372838426,-0.1041073233,-0.7694657777,-0.3581289137,0.0384615385,3.0000000000,0.2200000000,0.0044000000,0.7502916417,0.2354691235,0.6351705417,0.4593909761,0.9604486003,-0.0781339061,-0.1004083886,-0.7636516411,-0.7781611399,0.2857142857,2.0000000000,0.5333333333,0.0032000000,0.9067931029,0.0591706060,0.9525695324,0.0082713835
2,1,1,true,composite,-1.2683315021,-0.2599337689,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2022-07-01,2024-07-29,2024-08-27,2025-03-10,0.8902995061,-0.0565521408,-0.1253647754,-0.8077350931,-0.4511007230,0.1200000000,3.0000000000,0.3040000000,0.0076000000,0.7469775951,0.1918690894,0.7591118315,0.1728173230,1.0044375900,0.0089663493,-0.1375625712,0.1379456609,0.0651801517,0.2500000000,2.0000000000,0.4666666667,0.0028000000,1.2695603048,-0.2088303437,1.1886256440,-0.1549588426
3,1,1,true,composite,-1.1530001181,11.3405924693,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2023-01-04,2025-02-10,2025-03-11,2025-09-09,0.8942502903,-0.0544569789,-0.1375625712,-0.4550526815,-0.3958706098,0.1923076923,3.0000000000,0.4160000000,0.0104000000,0.9518508351,-0.0605142557,1.0020832531,-0.1076087864,1.1833134332,0.4040067191,-0.0482371551,3.0672663428,8.3754259272,0.4285714286,0.0000000000,0.3142857143,0.0022000000,1.1547802195,0.0247087829,1.1255486601,0.0513214356
4,1,1,true,composite,-0.0158101720,1.5305724113,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2023-07-14,2025-08-12,2025-09-10,2026-03-24,1.0231148536,0.0115143774,-0.1375625712,0.1639505369,0.0837028365,0.2307692308,2.0000000000,0.3000000000,0.0078000000,1.0779853584,-0.0509009741,1.0627657665,-0.0373091740,1.0755139310,0.1580783345,-0.1601504259,0.7626110116,0.9870615932,0.5714285714,2.0000000000,0.4666666667,0.0028000000,1.0168258935,0.0577168991,1.0066046394,0.0684571567
5,1,1,true,composite,2.2188733095,-3.5176695372,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2024-01-18,2026-02-24,2026-03-25,2014-06-18,1.3901039663,0.1794127961,-0.1375625712,1.1931936029,1.3042268293,0.3846153846,2.0000000000,0.4240000000,0.0106000000,1.4404991842,-0.0349845515,1.4375353083,-0.0329949057,0.3994925033,-0.8427316226,-0.6431804016,-1.2972824145,-1.3102569987,0.3333333333,1.0000000000,0.0000000000,0.0000000000,0.5449728559,-0.2669497224,0.4760890981,-0.1608871011
6,1,1,true,composite,-1.7040186602,13.1566836202,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2024-07-30,2014-05-20,2014-06-19,2014-12-22,0.5239671748,-0.2766091379,-0.6586159270,-0.2935622361,-0.4199854978,0.3928571429,2.0000000000,0.0000000000,0.0000000000,0.7842117719,-0.3318549994,0.6279404520,-0.1655782436,1.2409218539,0.5452145074,-0.0508289695,2.7580476453,10.7264521219,0.5714285714,1.0000000000,0.6333333333,0.0038000000,1.4079846446,-0.1186538442,1.5959678595,-0.2224643833
7,1,1,true,composite,-1.4947192842,8.6200144210,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2025-02-11,2014-11-24,2014-12-23,2015-06-30,0.5941287781,-0.2296013311,-0.6586159270,-0.1644299491,-0.3486118718,0.4444444444,2.0000000000,0.0000000000,0.0000000000,0.8776702906,-0.3230615363,0.6822468415,-0.1291586241,1.5962450889,1.5671351980,-0.2494633243,2.8253107874,6.2820264349,0.8571428571,1.0000000000,0.6857142857,0.0048000000,1.7098306900,-0.0664309056,1.3452955259,0.1865386141
8,1,1,true,composite,-0.3780435209,-1.8476540511,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2025-08-13,2015-06-01,2015-07-01,2016-01-06,1.1036822535,0.0506658542,-0.6586159270,0.5021254787,0.0769277694,0.6428571429,2.0000000000,0.0000000000,0.0000000000,1.5732745728,-0.2984808420,1.2153915404,-0.0919121807,0.9015198778,-0.1886089389,-0.2126227108,-0.6960775379,-0.8870592336,0.1428571429,2.0000000000,0.3333333333,0.0020000000,0.8740411053,0.0314387645,0.8323050444,0.0831604155
9,1,1,true,composite,-1.3307317534,-2.1018914054,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2026-02-25,2015-12-08,2016-01-07,2016-07-18,0.6499345685,-0.1941600313,-0.6586159270,-0.0249734454,-0.2948000851,0.4642857143,2.0000000000,0.0000000000,0.0000000000,1.0035155367,-0.3523422960,0.7650135455,-0.1504273718,0.9417894329,-0.1138833693,-0.1079048203,-0.8128294625,-1.0554057643,0.0000000000,1.0000000000,0.1666666667,0.0010000000,1.0282494727,-0.0840846916,0.9901772109,-0.0488677961
10,1,1,true,composite,0.4847571729,-2.4458235906,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2014-05-21,2016-06-17,2016-07-19,2017-01-20,1.4132802783,0.1892234972,-0.4469770532,0.8078509207,0.4233405180,0.3461538462,2.0000000000,0.4640000000,0.0116000000,1.7308098241,-0.1834572126,1.4562224064,-0.0294887154,0.9351497357,-0.1264326184,-0.1059890933,-0.8578690366,-1.1928832908,0.4285714286,2.0000000000,0.9714285714,0.0068000000,0.9804720843,-0.0462250270,1.0328363447,-0.0945809174
11,1,1,true,composite,-0.0736642795,-2.3264815687,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2014-11-25,2016-12-22,2017-01-23,2017-08-02,1.1859169191,0.0891827263,-0.4500618624,0.4624534516,0.1981565952,0.3846153846,2.0000000000,0.5538461538,0.0144000000,1.3882566038,-0.1457509254,1.2420761405,-0.0452139926,0.9479638706,-0.1021325249,-0.1012619032,-0.9353361383,-1.0085977214,0.2500000000,2.0000000000,0.8333333333,0.0050000000,1.0225623200,-0.0729524723,1.1179430929,-0.1520463996
12,1,1,true,composite,-2.7953010930,0.5833544293,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2015-06-02,2017-07-04,2017-08-03,2018-02-02,0.5316948130,-0.2712836557,-0.4940671772,-1.4026110818,-0.5490825300,0.1923076923,3.0000000000,0.5600000000,0.0140000000,0.6726400038,-0.2095403039,0.7012923611,-0.2418357272,1.0245240574,0.0500565206,-0.1011751684,0.3831528856,0.4947510476,0.7142857143,1.0000000000,0.8000000000,0.0048000000,1.0177805847,0.0066256646,1.1457684497,-0.1058192799
13,1,1,true,composite,-2.2457227230,-4.4955482097,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2015-12-09,2018-01-05,2018-02-05,2018-08-13,0.7116225972,-0.1567079693,-0.3345401505,-0.9806057116,-0.4684279872,0.3846153846,3.0000000000,0.7120000000,0.0178000000,0.9940930049,-0.2841488737,1.1382888607,-0.3748312737,0.8685745209,-0.2472771770,-0.1314254791,-2.4398610589,-1.8815010510,0.0000000000,3.0000000000,0.4285714286,0.0030000000,0.8160362802,0.0643822364,0.7932197045,0.0949986694
14,1,1,true,composite,-1.9449108029,9.3177293030,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2016-06-20,2018-07-16,2018-08-14,2019-02-22,0.7773872712,-0.1185249943,-0.2491363542,-0.8724048319,-0.4757434729,0.3846153846,3.0000000000,0.7538461538,0.0196000000,0.9245415646,-0.1591646055,1.1154699984,-0.3030854507,1.0346556299,0.0710959660,-0.0089875490,1.4171155364,7.9104955095,0.1428571429,0.0000000000,0.1666666667,0.0010000000,0.9941227857,0.0407724728,1.0436448052,-0.0086132517
15,1,1,true,composite,-1.5589015201,0.6900444644,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2016-12-23,2019-01-18,2019-02-25,2019-08-26,0.8141722801,-0.0978694195,-0.2062250554,-0.8327899753,-0.4745757945,0.3076923077,3.0000000000,0.5520000000,0.0138000000,0.7451086748,0.0926893051,0.9578455678,-0.1499962964,1.0385287726,0.0791945986,-0.1539186646,0.4487833070,0.5145223861,0.1428571429,3.0000000000,0.5000000000,0.0030000000,1.0326864153,0.0056574360,1.0097681178,0.0284824350
