section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2021-12-13
summary,last_test_end,2013-12-19
test_mean,final_equity,1.0012320062
test_median,final_equity,0.9973821678
test_std,final_equity,0.1828822872
train_mean,final_equity,0.9260581806
train_median,final_equity,0.8942502903
train_std,final_equity,0.2255866223
test_mean,annualized_return,0.0367253660
test_median,annualized_return,-0.0052705315
test_std,annualized_return,0.3821130834
bootstrap_ci_lower,annualized_return,-0.0958135206
bootstrap_ci_upper,annualized_return,0.1971146417
bootstrap_p_positive,annualized_return,0.6732000000
train_mean,annualized_return,-0.0449991187
train_median,annualized_return,-0.0544569789
train_std,annualized_return,0.1180887989
test_mean,max_drawdown,-0.1234594524
test_median,max_drawdown,-0.1012619032
test_std,max_drawdown,0.1193435683
train_mean,max_drawdown,-0.2987558908
train_median,max_drawdown,-0.2278489467
train_std,max_drawdown,0.1798875773
test_mean,sharpe_ratio,0.1465634775
test_median,sharpe_ratio,0.0199571243
test_std,sharpe_ratio,1.3407207495
train_mean,sharpe_ratio,-0.1858417108
train_median,sharpe_ratio,-0.2377902516
train_std,sharpe_ratio,0.6047730195
test_mean,calmar_ratio,1.2277274751
test_median,calmar_ratio,-0.0513410962
test_std,calmar_ratio,3.5701929210
train_mean,calmar_ratio,-0.1244984782
train_median,calmar_ratio,-0.2554510067
train_std,calmar_ratio,0.3996819229
test_mean,monthly_win_rate,0.3020282187
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2130857089
train_mean,monthly_win_rate,0.2926981112
train_median,monthly_win_rate,0.2800000000
train_std,monthly_win_rate,0.1389252428
test_mean,max_consecutive_losing_months,1.4074074074
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,0.9132465190
train_mean,max_consecutive_losing_months,2.5925925926
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,0.4913518208
test_mean,average_turnover,0.4784832451
test_median,average_turnover,0.4666666667
test_std,average_turnover,0.2821689809
train_mean,average_turnover,0.3503589744
train_median,average_turnover,0.3680000000
train_std,average_turnover,0.2669380210
test_mean,total_transaction_cost,0.0030148148
test_median,total_transaction_cost,0.0030000000
test_std,total_transaction_cost,0.0018305441
train_mean,total_transaction_cost,0.0087777778
train_median,total_transaction_cost,0.0092000000
train_std,total_transaction_cost,0.0067546052
test_mean,equal_weight_final_equity,1.0355807407
test_median,equal_weight_final_equity,1.0225623200
test_std,equal_weight_final_equity,0.2169644171
train_mean,equal_weight_final_equity,1.0254946498
train_median,equal_weight_final_equity,0.8913268654
train_std,equal_weight_final_equity,0.3123303192
test_mean,excess_return_vs_equal_weight,-0.0238711576
test_median,excess_return_vs_equal_weight,-0.0455713596
test_std,excess_return_vs_equal_weight,0.1230058638
train_mean,excess_return_vs_equal_weight,-0.0683645167
train_median,excess_return_vs_equal_weight,-0.0605142557
train_std,excess_return_vs_equal_weight,0.1863878359
test_mean,benchmark_final_equity,1.0149941026
test_median,benchmark_final_equity,1.0170151544
test_std,benchmark_final_equity,0.2109528806
train_mean,benchmark_final_equity,0.9676800785
train_median,benchmark_final_equity,0.9374326949
train_std,benchmark_final_equity,0.3141041075
test_mean,excess_return_vs_benchmark,0.0011965194
test_median,excess_return_vs_benchmark,-0.0086132517
test_std,excess_return_vs_benchmark,0.1566002442
train_mean,excess_return_vs_benchmark,0.0044808970
train_median,excess_return_vs_benchmark,-0.0479386095
train_std,excess_return_vs_benchmark,0.2488358895
selection_count,ret60_ret5_top5_riskoff0,27
