date,fold,selected_name,strategy,equal_weight,benchmark
2024-02-23,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0000000000,1.0000000000
2024-02-26,1,ret60_ret5_top5_riskoff0,1.0000000000,0.9997375926,0.9895751546
2024-02-27,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0181750739,1.0014470992
2024-02-28,1,ret60_ret5_top5_riskoff0,1.0000000000,0.9864870999,0.9886868363
2024-02-29,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0125675191,1.0075478402
2024-03-01,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0184704639,1.0137717996
2024-03-04,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0198546872,1.0146515213
2024-03-05,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0154279893,1.0217122192
2024-03-06,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0177146352,1.0175686441
2024-03-07,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0123599219,1.0114564409
2024-03-08,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0192666179,1.0158092007
2024-03-11,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0326349862,1.0285178839
2024-03-12,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0370781025,1.0308762257
2024-03-13,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0345610087,1.0236751162
2024-03-14,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0318824927,1.0207694556
2024-03-15,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0402934534,1.0229959825
2024-03-18,1,ret60_ret5_top5_riskoff0,1.0000000000,1.0519517554,1.0326070137
2024-03-19,1,ret60_ret5_top5_riskoff0,0.9990000000,1.0474483432,1.0251852574
2024-03-20,1,ret60_ret5_top5_riskoff0,1.0039439197,1.0538096712,1.0274060532
2024-03-21,1,ret60_ret5_top5_riskoff0,1.0010217090,1.0538061442,1.0261767352
2024-03-22,1,ret60_ret5_top5_riskoff0,0.9989556759,1.0427280998,1.0158349906
2024-03-25,1,ret60_ret5_top5_riskoff0,1.0004116835,1.0296948640,1.0103216859
2024-03-26,1,ret60_ret5_top5_riskoff0,0.9991683894,1.0301598870,1.0154767977
2024-03-27,1,ret60_ret5_top5_riskoff0,0.9959396380,1.0078981795,1.0037395336
2024-03-28,1,ret60_ret5_top5_riskoff0,1.0012558345,1.0215654667,1.0089462252
2024-03-29,1,ret60_ret5_top5_riskoff0,1.0149162452,1.0323897556,1.0136801022
2024-04-01,1,ret60_ret5_top5_riskoff0,1.0196988627,1.0509074880,1.0303489658
2024-04-02,1,ret60_ret5_top5_riskoff0,1.0264386911,1.0489120134,1.0260592480
2024-04-03,1,ret60_ret5_top5_riskoff0,1.0327833177,1.0458868460,1.0223684286
2024-04-08,1,ret60_ret5_top5_riskoff0,1.0327793407,1.0309025870,1.0133734891
2024-04-09,1,ret60_ret5_top5_riskoff0,1.0268006506,1.0360552199,1.0125367506
2024-04-10,1,ret60_ret5_top5_riskoff0,1.0301330086,1.0227930199,1.0042897179
2024-04-11,1,ret60_ret5_top5_riskoff0,1.0353138440,1.0256657174,1.0041550373
2024-04-12,1,ret60_ret5_top5_riskoff0,1.0334387636,1.0185578148,0.9960168952
2024-04-15,1,ret60_ret5_top5_riskoff0,1.0509161225,1.0149576345,1.0170041321
2024-04-16,1,ret60_ret5_top5_riskoff0,1.0435157274,0.9821395369,1.0061236654
2024-04-17,1,ret60_ret5_top5_riskoff0,1.0596711784,1.0138571325,1.0216806983
2024-04-18,1,ret60_ret5_top5_riskoff0,1.0587230974,1.0134695349,1.0229415372
2024-04-19,1,ret60_ret5_top5_riskoff0,1.0601937122,1.0093039783,1.0148778992
2024-04-22,1,ret60_ret5_top5_riskoff0,1.0398756012,1.0023283243,1.0117945750
2024-04-23,1,ret60_ret5_top5_riskoff0,1.0249815031,0.9962071317,1.0047224149
2024-04-24,1,ret60_ret5_top5_riskoff0,1.0394781483,1.0062392528,1.0091353511
2024-04-25,1,ret60_ret5_top5_riskoff0,1.0416999249,1.0076929804,1.0116169113
2024-04-26,1,ret60_ret5_top5_riskoff0,1.0541257055,1.0224404812,1.0270879779
2024-04-29,1,ret60_ret5_top5_riskoff0,1.0580617730,1.0411377647,1.0384469903
2024-04-30,1,ret60_ret5_top5_riskoff0,1.0566687400,1.0344400842,1.0328534504
2024-05-06,1,ret60_ret5_top5_riskoff0,1.0625338586,1.0516994746,1.0481812399
2024-05-07,1,ret60_ret5_top5_riskoff0,1.0605693865,1.0541051011,1.0485050462
2024-05-08,1,ret60_ret5_top5_riskoff0,1.0542484803,1.0430603173,1.0402551479
2024-05-09,1,ret60_ret5_top5_riskoff0,1.0615471553,1.0558515939,1.0500954226
2024-05-10,1,ret60_ret5_top5_riskoff0,1.0673342459,1.0541300961,1.0505882960
2024-05-13,1,ret60_ret5_top5_riskoff0,1.0666242654,1.0477410832,1.0501326746
2024-05-14,1,ret60_ret5_top5_riskoff0,1.0653764393,1.0507641116,1.0479433998
2024-05-15,1,ret60_ret5_top5_riskoff0,1.0565601023,1.0438043735,1.0390630821
2024-05-16,1,ret60_ret5_top5_riskoff0,1.0580838277,1.0468007031,1.0431608085
2024-05-17,1,ret60_ret5_top5_riskoff0,1.0690106700,1.0595870893,1.0539381157
2024-05-20,1,ret60_ret5_top5_riskoff0,1.0842466897,1.0647184536,1.0576604561
2024-05-21,1,ret60_ret5_top5_riskoff0,1.0726355902,1.0573018725,1.0534194525
2024-05-22,1,ret60_ret5_top5_riskoff0,1.0676806966,1.0578116687,1.0557949876
2024-05-23,1,ret60_ret5_top5_riskoff0,1.0481620918,1.0388451905,1.0435705812
2024-05-24,1,ret60_ret5_top5_riskoff0,1.0417421848,1.0289660645,1.0320195774
2024-05-27,1,ret60_ret5_top5_riskoff0,1.0539851083,1.0371296178,1.0418283311
2024-05-28,1,ret60_ret5_top5_riskoff0,1.0433507059,1.0267428484,1.0342231800
2024-05-29,1,ret60_ret5_top5_riskoff0,1.0502037273,1.0284933795,1.0354696912
2024-05-30,1,ret60_ret5_top5_riskoff0,1.0421428276,1.0206594916,1.0299649831
