section,name,value
summary,folds,4
summary,selection_metric,composite
summary,first_train_start,2021-12-13
summary,last_test_end,2026-03-24
test_mean,final_equity,1.0558252585
test_median,final_equity,1.0552446221
test_std,final_equity,0.0467550116
train_mean,final_equity,1.0044322727
train_median,final_equity,0.9834676619
train_std,final_equity,0.0438503106
test_mean,annualized_return,0.1179770311
test_median,annualized_return,0.1164586352
test_std,annualized_return,0.0996180572
bootstrap_ci_lower,annualized_return,0.0185714346
bootstrap_ci_upper,annualized_return,0.2173826277
bootstrap_p_positive,annualized_return,1.0000000000
train_mean,annualized_return,0.0019846559
train_median,annualized_return,-0.0083211238
train_std,annualized_return,0.0216732868
test_mean,max_drawdown,-0.1137352127
test_median,max_drawdown,-0.1073140827
test_std,max_drawdown,0.0430498859
train_mean,max_drawdown,-0.1115079660
train_median,max_drawdown,-0.1115079660
train_std,max_drawdown,0.0300809985
test_mean,sharpe_ratio,0.7801510377
test_median,sharpe_ratio,0.5564686915
test_std,sharpe_ratio,0.6588715946
train_mean,sharpe_ratio,0.0384904209
train_median,sharpe_ratio,-0.0367787735
train_std,sharpe_ratio,0.2228702127
test_mean,calmar_ratio,1.1939829874
test_median,calmar_ratio,0.7118226465
test_std,calmar_ratio,1.2292473168
train_mean,calmar_ratio,-0.0194983919
train_median,calmar_ratio,-0.0879092111
train_std,calmar_ratio,0.1780929286
test_mean,monthly_win_rate,0.3839285714
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.1912882615
train_mean,monthly_win_rate,0.1746153846
train_median,monthly_win_rate,0.1953846154
train_std,monthly_win_rate,0.0633717313
test_mean,max_consecutive_losing_months,1.5000000000
test_median,max_consecutive_losing_months,1.5000000000
test_std,max_consecutive_losing_months,0.5000000000
train_mean,max_consecutive_losing_months,2.0000000000
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.0000000000
test_mean,average_turnover,0.5904761905
test_median,average_turnover,0.6000000000
test_std,average_turnover,0.1179953495
train_mean,average_turnover,0.3690769231
train_median,average_turnover,0.3721538462
train_std,average_turnover,0.1042619596
test_mean,total_transaction_cost,0.0036500000
test_median,total_transaction_cost,0.0036000000
test_std,total_transaction_cost,0.0005722762
train_mean,total_transaction_cost,0.0090500000
train_median,total_transaction_cost,0.0095000000
train_std,total_transaction_cost,0.0030442569
test_mean,equal_weight_final_equity,1.0880573558
test_median,equal_weight_final_equity,1.0820518812
test_std,equal_weight_final_equity,0.1494842637
train_mean,equal_weight_final_equity,0.8904112450
train_median,equal_weight_final_equity,0.8662387692
train_std,equal_weight_final_equity,0.1450788740
test_mean,excess_return_vs_equal_weight,-0.0117307370
test_median,excess_return_vs_equal_weight,0.0209929327
test_std,excess_return_vs_equal_weight,0.1331128243
train_mean,excess_return_vs_equal_weight,0.1515998621
train_median,excess_return_vs_equal_weight,0.1501141033
train_std,excess_return_vs_equal_weight,0.1482566786
test_mean,benchmark_final_equity,1.0683371190
test_median,benchmark_final_equity,1.0660766498
test_std,benchmark_final_equity,0.0934819807
train_mean,benchmark_final_equity,0.8647828482
train_median,benchmark_final_equity,0.8805975423
train_std,benchmark_final_equity,0.1745972595
test_mean,excess_return_vs_benchmark,-0.0044172557
test_median,excess_return_vs_benchmark,0.0197869661
test_std,excess_return_vs_benchmark,0.0923073002
train_mean,excess_return_vs_benchmark,0.2050149185
train_median,excess_return_vs_benchmark,0.1519696032
train_std,excess_return_vs_benchmark,0.2209231306
selection_count,ret60_ret5_top5_riskoff0,4
