fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,1,true,composite,-0.8869962927,-1.7163838970,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2021-12-13,2024-01-17,2024-02-23,2024-08-26,0.9349137982,-0.0331552783,-0.1057381812,-0.6587651682,-0.3135601342,0.0769230769,3.0000000000,0.2200000000,0.0044000000,0.7502916417,0.2460671908,0.6351705417,0.4719098837,0.9604486003,-0.0781339061,-0.1004083886,-0.7636516411,-0.7781611399,0.2857142857,2.0000000000,0.5333333333,0.0032000000,0.9067931029,0.0591706060,0.9525695324,0.0082713835
2,1,1,true,composite,-1.1484741205,-0.5942123745,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2022-07-01,2024-07-29,2024-08-27,2025-03-10,0.8979366489,-0.0525062077,-0.1269569368,-0.7340353903,-0.4135749415,0.1600000000,3.0000000000,0.3040000000,0.0076000000,0.7469775951,0.2020931481,0.7591118315,0.1828779524,0.9939431909,-0.0121729583,-0.1193992875,-0.0057648919,-0.1019516831,0.2500000000,2.0000000000,0.6000000000,0.0036000000,1.2695603048,-0.2170965120,1.1886256440,-0.1637878622
3,1,1,true,composite,-1.2175135261,11.3405924693,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2023-01-04,2025-02-10,2025-03-11,2025-09-09,0.8924980180,-0.0553856648,-0.1374911685,-0.5028364829,-0.4028307084,0.2307692308,3.0000000000,0.4480000000,0.0112000000,0.9518508351,-0.0623551663,1.0020832531,-0.1093574159,1.1833134332,0.4040067191,-0.0482371551,3.0672663428,8.3754259272,0.4285714286,0.0000000000,0.3142857143,0.0022000000,1.1547802195,0.0247087829,1.1255486601,0.0513214356
4,1,1,true,composite,-0.0977789004,1.4524125826,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2023-07-14,2025-08-12,2025-09-10,2026-03-24,1.0124253138,0.0062058285,-0.1193992875,0.1131544656,0.0519754232,0.2307692308,2.0000000000,0.3307692308,0.0086000000,1.0779853584,-0.0608171940,1.0627657665,-0.0473674014,1.0714608309,0.1492968579,-0.1594329687,0.7383573524,0.9364239979,0.5714285714,2.0000000000,0.4666666667,0.0028000000,1.0168258935,0.0537308676,1.0066046394,0.0644306503
5,1,1,true,composite,2.3599956179,-3.5176695372,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2024-01-18,2026-02-24,2026-03-25,2014-06-18,1.3729058594,0.1720798482,-0.1193992875,1.1991050892,1.4412133587,0.3846153846,2.0000000000,0.4560000000,0.0114000000,1.4404991842,-0.0469235426,1.4375353083,-0.0449585123,0.3994925033,-0.8427316226,-0.6431804016,-1.2972824145,-1.3102569987,0.3333333333,1.0000000000,0.0000000000,0.0000000000,0.5449728559,-0.2669497224,0.4760890981,-0.1608871011
6,1,1,true,composite,-1.7402187298,13.1566836202,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2024-07-30,2014-05-20,2014-06-19,2014-12-22,0.5165387951,-0.2817654599,-0.6583242932,-0.3125629775,-0.4280040442,0.3928571429,2.0000000000,0.0000000000,0.0000000000,0.7842117719,-0.3413274149,0.6279404520,-0.1774079955,1.2409218539,0.5452145074,-0.0508289695,2.7580476453,10.7264521219,0.5714285714,1.0000000000,0.6333333333,0.0038000000,1.4079846446,-0.1186538442,1.5959678595,-0.2224643833
7,1,1,true,composite,-1.5040915447,8.8189318509,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2025-02-11,2014-11-24,2014-12-23,2015-06-30,0.5918897896,-0.2310572202,-0.6583242932,-0.1691768441,-0.3509778122,0.4444444444,2.0000000000,0.0000000000,0.0000000000,0.8776702906,-0.3256125951,0.6822468415,-0.1324404107,1.5967100044,1.5686427699,-0.2410930403,2.8340902904,6.5063793132,0.8571428571,1.0000000000,0.8571428571,0.0060000000,1.7098306900,-0.0661589982,1.3452955259,0.1868842003
8,1,1,true,composite,-0.4123682813,-1.9174745590,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2025-08-13,2015-06-01,2015-07-01,2016-01-06,1.0885945333,0.0434453807,-0.6583242932,0.4880329753,0.0659938896,0.6428571429,2.0000000000,0.0000000000,0.0000000000,1.5732745728,-0.3080708529,1.2153915404,-0.1043260570,0.8954605470,-0.1995657649,-0.2196023527,-0.7302854057,-0.9087596850,0.0000000000,2.0000000000,0.3333333333,0.0020000000,0.8740411053,0.0245062178,0.8323050444,0.0758802353
9,1,1,true,composite,-1.3448500148,-2.1018914054,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2026-02-25,2015-12-08,2016-01-07,2016-07-18,0.6457411719,-0.1967690578,-0.6583242932,-0.0311109070,-0.2988938124,0.4642857143,2.0000000000,0.0000000000,0.0000000000,1.0035155367,-0.3565210022,0.7650135455,-0.1559088389,0.9417894329,-0.1138833693,-0.1079048203,-0.8128294625,-1.0554057643,0.0000000000,1.0000000000,0.1666666667,0.0010000000,1.0282494727,-0.0840846916,0.9901772109,-0.0488677961
10,1,1,true,composite,0.4509651161,-2.3759011673,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2014-05-21,2016-06-17,2016-07-19,2017-01-20,1.4049202906,0.1856939762,-0.4447293637,0.7944380218,0.4175437724,0.3461538462,2.0000000000,0.5120000000,0.0128000000,1.7308098241,-0.1882873144,1.4562224064,-0.0352295883,0.9382302562,-0.1206215492,-0.1013680856,-0.8129423544,-1.1899361465,0.4285714286,2.0000000000,0.9142857143,0.0064000000,0.9804720843,-0.0430831522,1.0328363447,-0.0915983340
