section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2021-12-13
summary,last_test_end,2013-12-19
test_mean,final_equity,1.0020467402
test_median,final_equity,0.9965049723
test_std,final_equity,0.1823410339
train_mean,final_equity,0.9288101199
train_median,final_equity,0.9050995553
train_std,final_equity,0.2197112275
test_mean,annualized_return,0.0381685260
test_median,annualized_return,-0.0070334662
test_std,annualized_return,0.3812984042
bootstrap_ci_lower,annualized_return,-0.0931482364
bootstrap_ci_upper,annualized_return,0.1986236428
bootstrap_p_positive,annualized_return,0.6814000000
train_mean,annualized_return,-0.0432462753
train_median,annualized_return,-0.0487270875
train_std,annualized_return,0.1155352232
test_mean,max_drawdown,-0.1216625793
test_median,max_drawdown,-0.1012619032
test_std,max_drawdown,0.1189814012
train_mean,max_drawdown,-0.2925367905
train_median,max_drawdown,-0.2156532160
train_std,max_drawdown,0.1821518250
test_mean,sharpe_ratio,0.1727081892
test_median,sharpe_ratio,0.0000000000
test_std,sharpe_ratio,1.3455896155
train_mean,sharpe_ratio,-0.1613892973
train_median,sharpe_ratio,-0.2189148205
train_std,sharpe_ratio,0.5733697517
test_mean,calmar_ratio,1.6750750156
test_median,calmar_ratio,-0.0599423397
test_std,calmar_ratio,4.8514240049
train_mean,calmar_ratio,-0.1139615254
train_median,calmar_ratio,-0.2308629373
train_std,calmar_ratio,0.4107841194
test_mean,monthly_win_rate,0.3020282187
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2166038668
train_mean,monthly_win_rate,0.3027835813
train_median,monthly_win_rate,0.3076923077
train_std,monthly_win_rate,0.1347570687
test_mean,max_consecutive_losing_months,1.3703703704
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,0.8670148082
train_mean,max_consecutive_losing_months,2.5925925926
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,0.4913518208
test_mean,average_turnover,0.4922398589
test_median,average_turnover,0.5000000000
test_std,average_turnover,0.2885489836
train_mean,average_turnover,0.3597948718
train_median,average_turnover,0.3680000000
train_std,average_turnover,0.2728989926
test_mean,total_transaction_cost,0.0031037037
test_median,total_transaction_cost,0.0030000000
test_std,total_transaction_cost,0.0018835509
train_mean,total_transaction_cost,0.0090148148
train_median,total_transaction_cost,0.0092000000
train_std,total_transaction_cost,0.0069009770
test_mean,equal_weight_final_equity,1.0355807407
test_median,equal_weight_final_equity,1.0225623200
test_std,equal_weight_final_equity,0.2169644171
train_mean,equal_weight_final_equity,1.0254946498
train_median,equal_weight_final_equity,0.8913268654
train_std,equal_weight_final_equity,0.3123303192
test_mean,excess_return_vs_equal_weight,-0.0228698559
test_median,excess_return_vs_equal_weight,-0.0430831522
test_std,excess_return_vs_equal_weight,0.1236324308
train_mean,excess_return_vs_equal_weight,-0.0631091384
train_median,excess_return_vs_equal_weight,-0.0623551663
train_std,excess_return_vs_equal_weight,0.1935564710
test_mean,benchmark_final_equity,1.0149941026
test_median,benchmark_final_equity,1.0170151544
test_std,benchmark_final_equity,0.2109528806
train_mean,benchmark_final_equity,0.9676800785
train_median,benchmark_final_equity,0.9374326949
train_std,benchmark_final_equity,0.3141041075
test_mean,excess_return_vs_benchmark,0.0020526346
test_median,excess_return_vs_benchmark,-0.0071887160
test_std,excess_return_vs_benchmark,0.1560951748
train_mean,excess_return_vs_benchmark,0.0090232023
train_median,excess_return_vs_benchmark,-0.0510917421
train_std,excess_return_vs_benchmark,0.2522992871
selection_count,ret60_ret5_top5_riskoff0,27
