rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_top3_riskoff0p3_pmsoftmax,ret60,ret60,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.0895305004,2.4637303664,-0.1518834492,1.7303402141,0.2075836205
2,ret60_top3_riskoff0p3_pmequal,ret60,ret60,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.0368250756,2.4637303664,-0.1732759788,1.7303402141,0.1771240471
3,ret60_top3_riskoff0p2_pmsoftmax,ret60,ret60,3,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.9890058123,2.4637303664,-0.1926852713,1.7303402141,0.1494882892
4,ret60_top3_riskoff0p2_pmequal,ret60,ret60,3,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.9545136914,2.4637303664,-0.2066852290,1.7303402141,0.1295545671
5,ret60_top3_riskoff0p1_pmsoftmax,ret60,ret60,3,0.100000,true,true,0.000000,27,2012-02-06,2026-03-05,1.8846942377,2.4637303664,-0.2350241474,1.7303402141,0.0892044364
6,ret60_top3_riskoff0p1_pmequal,ret60,ret60,3,0.100000,true,true,0.000000,27,2012-02-06,2026-03-05,1.8678497574,2.4637303664,-0.2418611294,1.7303402141,0.0794696570
7,ret60_top8_riskoff0p3_pmsoftmax,ret60,ret60,8,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.8123542353,2.4637303664,-0.2643861276,1.7303402141,0.0473976277
8,ret60_ret5_top5_riskoff0p3_pmsoftmax,ret60_ret5,ret60;ret5,5,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7924467522,2.4637303664,-0.2724663475,1.7303402141,0.0358926745
9,ret60_ret5_top8_riskoff0p3_pmsoftmax,ret60_ret5,ret60;ret5,8,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7824476355,2.4637303664,-0.2765248747,1.7303402141,0.0301139747
10,ret60_top3_riskoff0_pmequal,ret60,ret60,3,0.000000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7777310074,2.4637303664,-0.2784393001,1.7303402141,0.0273881361
11,ret60_top3_riskoff0_pmsoftmax,ret60,ret60,3,0.000000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7777310074,2.4637303664,-0.2784393001,1.7303402141,0.0273881361
12,ret60_ret5_top3_riskoff0p3_pmsoftmax,ret60_ret5,ret60;ret5,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7321706236,2.4637303664,-0.2969317393,1.7303402141,0.0010578322
13,ret60_ret5_top3_riskoff0p3_pmequal,ret60_ret5,ret60;ret5,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7264702034,2.4637303664,-0.2992454747,1.7303402141,-0.0022365605
14,ret60_top8_riskoff0p2_pmsoftmax,ret60,ret60,8,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7242094526,2.4637303664,-0.3001630876,1.7303402141,-0.0035430960
15,ret60_top8_riskoff0p3_pmequal,ret60,ret60,8,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7160414554,2.4637303664,-0.3034783843,1.7303402141,-0.0082635533
16,ret60_ret5_top5_riskoff0p2_pmsoftmax,ret60_ret5,ret60;ret5,5,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.6982339245,2.4637303664,-0.3107062576,1.7303402141,-0.0185549000
17,ret60_ret5_top8_riskoff0p2_pmsoftmax,ret60_ret5,ret60;ret5,8,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.6913516553,2.4637303664,-0.3134996920,1.7303402141,-0.0225323081
18,ret60_top5_riskoff0p3_pmsoftmax,ret60,ret60,5,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.6717901660,2.4637303664,-0.3214394770,1.7303402141,-0.0338373041
19,ret60_ret5_top5_riskoff0p3_pmequal,ret60_ret5,ret60;ret5,5,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.6686726264,2.4637303664,-0.3227048507,1.7303402141,-0.0356389959
20,ret60_ret5_top8_riskoff0p3_pmequal,ret60_ret5,ret60;ret5,8,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,1.6622919901,2.4637303664,-0.3252946780,1.7303402141,-0.0393264997
21,ret60_top8_riskoff0p2_pmequal,ret60,ret60,8,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.6369561604,2.4637303664,-0.3355782017,1.7303402141,-0.0539686085
