fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,1,true,composite,0.9092363232,1.2808256109,ret60_top3_riskoff0_pmequal,ret60,ret60,3,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0858564631,0.0421296909,-0.1292701123,0.4326108962,0.3259043421,0.1153846154,3.0000000000,0.3000000000,0.0060000000,0.8013752896,0.3549911972,0.7088902278,0.5317695470,1.0381206667,0.0783398114,-0.0900660378,0.5928330131,0.8698041279,0.2857142857,2.0000000000,0.5000000000,0.0030000000,1.0047095454,0.0332545076,0.9538996614,0.0882912624
1,2,2,false,composite,0.9092363232,1.2808256109,ret60_top3_riskoff0_pmsoftmax,ret60,ret60,3,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0858564631,0.0421296909,-0.1292701123,0.4326108962,0.3259043421,0.1153846154,3.0000000000,0.3000000000,0.0060000000,0.8013752896,0.3549911972,0.7088902278,0.5317695470,1.0381206667,0.0783398114,-0.0900660378,0.5928330131,0.8698041279,0.2857142857,2.0000000000,0.5000000000,0.0030000000,1.0047095454,0.0332545076,0.9538996614,0.0882912624
1,3,3,false,composite,0.8477615593,1.2610092837,ret60_top3_riskoff0p1_pmsoftmax,ret60,ret60,3,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0851319042,0.0417812510,-0.1404520557,0.4254753032,0.2974769630,0.4615384615,3.0000000000,0.3553028169,0.0071060563,0.8013752896,0.3540870529,0.7088902278,0.5307474438,1.0378055315,0.0776799874,-0.0900660378,0.5862469158,0.8624781248,0.5714285714,2.0000000000,0.5223622753,0.0031341737,1.0047095454,0.0329408497,0.9538996614,0.0879608973
1,4,5,false,composite,0.7535272739,1.2326938750,ret60_top3_riskoff0p2_pmsoftmax,ret60,ret60,3,0.200000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0837337567,0.0411085544,-0.1606453152,0.4085852511,0.2558963786,0.4615384615,3.0000000000,0.4106056337,0.0082121127,0.8013752896,0.3523423679,0.7088902278,0.5287751393,1.0373775801,0.0767842764,-0.0900660378,0.5738930680,0.8525330782,0.5714285714,2.0000000000,0.5447245505,0.0032683473,1.0047095454,0.0325149043,0.9538996614,0.0875122637
1,5,59,false,composite,0.7514764260,0.0087741590,ret60_top8_riskoff0_pmequal,ret60,ret60,8,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0689911725,0.0339888624,-0.1335454341,0.3559394949,0.2545116018,0.1153846154,3.0000000000,0.2375000000,0.0047500000,0.8013752896,0.3339457634,0.7088902278,0.5079784296,1.0056685304,0.0114606659,-0.1167184118,0.1513473522,0.0981907287,0.2857142857,2.0000000000,0.5000000000,0.0030000000,1.0047095454,0.0009544898,0.9538996614,0.0542707699
1,6,4,false,composite,0.7283251938,1.2568864312,ret60_top3_riskoff0p1_pmequal,ret60,ret60,3,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0748386092,0.0368186140,-0.1494102440,0.3821499531,0.2464263026,0.3846153846,3.0000000000,0.3683333333,0.0073666667,0.8013752896,0.3412425154,0.7088902278,0.5162271493,1.0376884934,0.0774349870,-0.0900660378,0.5849257699,0.8597578944,0.5714285714,2.0000000000,0.5222222222,0.0031333333,1.0047095454,0.0328243602,0.9538996614,0.0878382030
1,7,43,false,composite,0.7195700979,0.1793957411,ret60_top8_riskoff0_pmsoftmax,ret60,ret60,8,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0741526138,0.0364870384,-0.1543326203,0.3659807104,0.2364181880,0.1153846154,3.0000000000,0.2755306921,0.0055106138,0.8013752896,0.3403864927,0.7088902278,0.5152594459,1.0122754467,0.0249016331,-0.1169505919,0.2362176948,0.2129243867,0.2857142857,2.0000000000,0.6413047391,0.0038478284,1.0047095454,0.0075304364,0.9538996614,0.0611969872
1,8,8,false,composite,0.6593372084,1.1967549360,ret60_top3_riskoff0p3_pmsoftmax,ret60,ret60,3,0.300000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0816643597,0.0401121013,-0.1807802070,0.3849512093,0.2218832580,0.4615384615,3.0000000000,0.4659084506,0.0093181690,0.8013752896,0.3497600609,0.7088902278,0.5258559326,1.0368369500,0.0756532634,-0.0900660378,0.5566403912,0.8399754806,0.5714285714,2.0000000000,0.5670868258,0.0034025210,1.0047095454,0.0319768083,0.9538996614,0.0869455058
1,9,41,false,composite,0.6380891462,0.2074260098,ret60_top8_riskoff0p1_pmsoftmax,ret60,ret60,8,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0702130058,0.0345807816,-0.1708731134,0.3476323118,0.2023769621,0.3846153846,3.0000000000,0.3060697931,0.0061213959,0.8013752896,0.3354704340,0.7088902278,0.5097020157,1.0131670917,0.0267224248,-0.1169505919,0.2472517105,0.2284932838,0.5714285714,2.0000000000,0.6391451776,0.0038348711,1.0047095454,0.0084179018,0.9538996614,0.0621317239
1,10,56,false,composite,0.6141874263,0.0395544395,ret60_top8_riskoff0p1_pmequal,ret60,ret60,8,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0610092486,0.0301136702,-0.1571880963,0.3195627466,0.1915772946,0.4230769231,3.0000000000,0.2550000000,0.0051000000,0.8013752896,0.3239854814,0.7088902278,0.4967186837,1.0065811053,0.0133118658,-0.1167184118,0.1632756088,0.1140511222,0.5714285714,2.0000000000,0.4916666667,0.0029500000,1.0047095454,0.0018627870,0.9538996614,0.0552274480
1,11,64,false,composite,0.5778786723,-0.0720784338,rel_ret60_ret5_top8_riskoff0_pmequal,rel_ret60_ret5,rel_ret60;ret5,8,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0517543230,0.0256021828,-0.1420868148,0.2992169084,0.1801869006,0.1153846154,3.0000000000,0.2875000000,0.0057500000,0.8013752896,0.3124366781,0.7088902278,0.4836631706,1.0037420880,0.0075583907,-0.1156894647,0.1250738465,0.0653334403,0.2857142857,2.0000000000,0.5833333333,0.0035000000,1.0047095454,-0.0009629225,0.9538996614,0.0522512258
1,12,38,false,composite,0.5413928353,0.2314717363,ret60_top8_riskoff0p2_pmsoftmax,ret60,ret60,8,0.200000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0656257196,0.0323567151,-0.1938162353,0.3228111679,0.1669453285,0.3846153846,3.0000000000,0.3371743709,0.0067434874,0.8013752896,0.3297461669,0.7088902278,0.5032309346,1.0139592055,0.0283413340,-0.1169505919,0.2561264695,0.2423359603,0.5714285714,2.0000000000,0.6369856161,0.0038219137,1.0047095454,0.0092063025,0.9538996614,0.0629621191
1,13,6,false,composite,0.5394967587,1.2253361105,ret60_top3_riskoff0p2_pmequal,ret60,ret60,3,0.200000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0632381529,0.0311972540,-0.1780705695,0.3247711503,0.1751960142,0.3846153846,3.0000000000,0.4366666667,0.0087333333,0.8013752896,0.3267668303,0.7088902278,0.4998629000,1.0371551221,0.0763188157,-0.0900660378,0.5718546856,0.8473650847,0.5714285714,2.0000000000,0.5444444444,0.0032666667,1.0047095454,0.0322934891,0.9538996614,0.0872790547
1,14,51,false,composite,0.5309169641,0.0847086203,ret60_ret5_top8_riskoff0_pmequal,ret60_ret5,ret60;ret5,8,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0468770827,0.0232167087,-0.1391904408,0.2657086594,0.1667981551,0.1153846154,3.0000000000,0.2750000000,0.0055000000,0.8013752896,0.3063505904,0.7088902278,0.4767830640,1.0081849614,0.0165694951,-0.1183356683,0.1845640241,0.1400211394,0.2857142857,2.0000000000,0.5000000000,0.0030000000,1.0047095454,0.0034591250,0.9538996614,0.0569088156
1,15,34,false,composite,0.5180109446,0.2592935892,ret60_top5_riskoff0_pmsoftmax,ret60,ret60,5,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0519468017,0.0256962114,-0.1565796813,0.2751380263,0.1641094884,0.1153846154,3.0000000000,0.3093350094,0.0061867002,0.8013752896,0.3126768635,0.7088902278,0.4839346918,1.0140931582,0.0286152315,-0.1082796404,0.2601100697,0.2642715789,0.2857142857,2.0000000000,0.6645921857,0.0039875531,1.0047095454,0.0093396274,0.9538996614,0.0631025455
1,16,61,false,composite,0.4981364666,-0.0280419168,rel_ret60_ret5_top8_riskoff0p1_pmequal,rel_ret60_ret5,rel_ret60;ret5,8,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0485385410,0.0240299550,-0.1601823826,0.2811287835,0.1500162165,0.4230769231,3.0000000000,0.3250000000,0.0065000000,0.8013752896,0.3084238491,0.7088902278,0.4791268096,1.0051403021,0.0103899100,-0.1156894647,0.1442852002,0.0898086102,0.5714285714,2.0000000000,0.5875000000,0.0035250000,1.0047095454,0.0004287375,0.9538996614,0.0537170132
1,17,54,false,composite,0.4734061747,0.0673104151,ret60_top8_riskoff0p2_pmequal,ret60,ret60,8,0.200000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0524026988,0.0259188895,-0.1873739095,0.2773322276,0.1383270997,0.4230769231,3.0000000000,0.2725000000,0.0054500000,0.8013752896,0.3132457570,0.7088902278,0.4845778056,1.0074047014,0.0149840329,-0.1167184118,0.1738020096,0.1283776281,0.5714285714,2.0000000000,0.4833333333,0.0029000000,1.0047095454,0.0026825226,0.9538996614,0.0560908471
1,18,36,false,composite,0.4452529053,0.2502863704,ret60_top8_riskoff0p3_pmsoftmax,ret60,ret60,8,0.300000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0603416087,0.0297888755,-0.2164849961,0.2938682332,0.1376024945,0.3846153846,3.0000000000,0.3715407604,0.0074308152,0.8013752896,0.3231523638,0.7088902278,0.4957768737,1.0146351396,0.0297238138,-0.1169505919,0.2625809423,0.2541570189,0.5714285714,2.0000000000,0.6375202686,0.0038251216,1.0047095454,0.0098790683,0.9538996614,0.0636707200
1,19,33,false,composite,0.4367167913,0.2932816173,ret60_top5_riskoff0p1_pmsoftmax,ret60,ret60,5,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0477848945,0.0236611418,-0.1739730361,0.2567233883,0.1360046496,0.3846153846,3.0000000000,0.3580864732,0.0071617295,0.8013752896,0.3074834077,0.7088902278,0.4780636739,1.0151776834,0.0308341490,-0.1082796404,0.2735337939,0.2847640503,0.5714285714,2.0000000000,0.6686226213,0.0040117357,1.0047095454,0.0104190689,0.9538996614,0.0642394840
1,20,42,false,composite,0.4196024189,0.1872574551,ret60_top5_riskoff0_pmequal,ret60,ret60,5,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0374306486,0.0185806015,-0.1460613703,0.2188900553,0.1272109217,0.1153846154,3.0000000000,0.3000000000,0.0060000000,0.8013752896,0.2945628123,0.7088902278,0.4634573985,1.0109267526,0.0221506149,-0.1037087163,0.2211932153,0.2135848918,0.2857142857,2.0000000000,0.6000000000,0.0036000000,1.0047095454,0.0061880642,0.9538996614,0.0597831129
1,21,49,false,composite,0.4008945456,0.1081789916,ret60_ret5_top8_riskoff0p1_pmequal,ret60_ret5,ret60;ret5,8,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0380944941,0.0189070891,-0.1619023320,0.2253123503,0.1167808322,0.3461538462,3.0000000000,0.2987500000,0.0059750000,0.8013752896,0.2953911951,0.7088902278,0.4643938560,1.0089386285,0.0181021058,-0.1183356683,0.1943328769,0.1529725235,0.5714285714,2.0000000000,0.5000000000,0.0030000000,1.0047095454,0.0042092594,0.9538996614,0.0576989062
1,22,58,false,composite,0.3971574418,0.0129012875,rel_ret60_ret5_top8_riskoff0p2_pmequal,rel_ret60_ret5,rel_ret60;ret5,8,0.200000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0445822627,0.0220923864,-0.1884886353,0.2555760333,0.1172080555,0.4230769231,3.0000000000,0.3625000000,0.0072500000,0.8013752896,0.3034869883,0.7088902278,0.4735458634,1.0064505407,0.0130469049,-0.1156894647,0.1619993637,0.1127752208,0.5714285714,2.0000000000,0.5916666667,0.0035500000,1.0047095454,0.0017328344,0.9538996614,0.0550905734
