fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,composite,0.9092363232,1.2808256109,ret60_top3_riskoff0_pmequal,ret60,ret60,3,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,1.0858564631,0.0421296909,-0.1292701123,0.4326108962,0.3259043421,0.1153846154,3.0000000000,0.3000000000,0.0060000000,0.8013752896,0.3549911972,0.7088902278,0.5317695470,1.0381206667,0.0783398114,-0.0900660378,0.5928330131,0.8698041279,0.2857142857,2.0000000000,0.5000000000,0.0030000000,1.0047095454,0.0332545076,0.9538996614,0.0882912624
2,10,composite,0.7931149961,12.1062517143,ret60_top3_riskoff0_pmequal,ret60,ret60,3,0.000000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,1.1272500353,0.0618467418,-0.1686941451,0.5238988217,0.3666205594,0.1923076923,3.0000000000,0.3600000000,0.0090000000,0.9706880006,0.1612897601,0.9067331160,0.2431993665,1.1214030449,0.2598523478,-0.0268441285,2.4544781485,9.6800440954,0.4285714286,0.0000000000,0.1500000000,0.0009000000,1.0823584792,0.0360735989,1.1454855866,-0.0210238715
3,50,composite,1.4829994019,-1.9486965690,ret60_top3_riskoff0_pmequal,ret60,ret60,3,0.000000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.1351657801,0.0655758674,-0.1040690950,0.6829788599,0.6301185513,0.1923076923,3.0000000000,0.2520000000,0.0063000000,0.8490578385,0.3369710857,0.9193390761,0.2347628961,0.9580258739,-0.0828159097,-0.0815466247,-0.6792361156,-1.0155651439,0.0000000000,3.0000000000,0.5571428571,0.0039000000,0.9907841408,-0.0330629706,0.8515495548,0.1250383122
4,30,composite,1.3005847396,-1.4892195295,ret60_top8_riskoff0_pmequal,ret60,ret60,8,0.000000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.1212149173,0.0589947964,-0.1167184118,0.5699353894,0.5054455038,0.1923076923,2.0000000000,0.2211538462,0.0057500000,0.8024665868,0.3972107196,0.7680008866,0.4599135716,0.9733944405,-0.0529119765,-0.0686602053,-0.5472832149,-0.7706352792,0.0000000000,2.0000000000,0.3333333333,0.0020000000,0.9925582557,-0.0193074967,0.9306436835,0.0459367616
5,20,composite,0.8900988971,5.4587677210,ret60_top3_riskoff0p3_pmsoftmax,ret60,ret60,3,0.300000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,1.1112081788,0.0542490951,-0.0909402650,0.4706273169,0.5965354851,0.5000000000,3.0000000000,0.5020139710,0.0125503493,1.0691069061,0.0393798529,0.8679521786,0.2802642889,1.0532797797,0.1103200793,-0.0267995716,1.5610833036,4.1164866698,0.4285714286,2.0000000000,0.4281946458,0.0025691679,1.1510675988,-0.0849540194,1.1189193676,-0.0586633763
6,25,composite,1.2044080081,18.6449998828,ret60_top8_riskoff0p2_pmequal,ret60,ret60,8,0.200000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.1386695977,0.0672223800,-0.0897821793,0.6825861981,0.7487274257,0.4615384615,5.0000000000,0.2620000000,0.0065500000,1.2265169569,-0.0716234364,1.0152440173,0.1215723297,1.4139905985,1.0104819951,-0.0648739323,3.2359681539,15.5760867207,1.0000000000,0.0000000000,0.3750000000,0.0022500000,1.4260134025,-0.0084310596,1.5677143300,-0.0980559587
7,70,composite,3.9907897861,0.5890976073,ret60_top3_riskoff0p3_pmequal,ret60,ret60,3,0.300000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.5507160125,0.2458206683,-0.0892923273,1.5127449201,2.7529875837,0.5769230769,5.0000000000,0.4960000000,0.0124000000,1.6525994114,-0.0616503904,1.4297459423,0.0846094867,1.0756376959,0.1583470147,-0.3759321970,0.5990746474,0.4212116333,0.4285714286,4.0000000000,0.6571428571,0.0046000000,0.9698911978,0.1090292379,0.8577957493,0.2539554979
8,62,composite,1.8199734344,-3.7719719262,ret60_top3_riskoff0_pmequal,ret60,ret60,3,0.000000,true,true,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7191777507,0.3118805954,-0.3759321970,1.3870405922,0.8296192714,0.3461538462,2.0000000000,0.3840000000,0.0096000000,1.5988695814,0.0752457678,1.4296118375,0.2025486258,0.8258655901,-0.3200307191,-0.2372731053,-1.9041000306,-1.3487863222,0.1428571429,1.0000000000,0.3000000000,0.0018000000,1.0411984013,-0.2068124681,0.9862275247,-0.1626013578
9,4,composite,0.9747592613,-1.2071338762,rel_ret60_ret5_top8_riskoff0p3_pmequal,rel_ret60_ret5,rel_ret60;ret5,8,0.300000,true,true,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.5692657863,0.2532646282,-0.4342990428,1.0091044766,0.5831572333,0.7200000000,4.0000000000,0.5210000000,0.0130250000,1.6570101153,-0.0529534058,1.4841124168,0.0573766304,0.9723700392,-0.0549202825,-0.0993399202,-0.2794626657,-0.5528520905,0.4285714286,2.0000000000,0.7083333333,0.0042500000,1.0784888878,-0.0983958665,1.0250660327,-0.0514074135
10,17,composite,0.5375949367,-1.7150865701,rel_ret60_ret5_top5_riskoff0p3_pmequal,rel_ret60_ret5,rel_ret60;ret5,5,0.300000,true,true,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.4494465631,0.2043739272,-0.4544097112,0.8292107505,0.4497569533,0.6538461538,4.0000000000,0.9200000000,0.0230000000,1.5369987063,-0.0569630559,1.3484276884,0.0749160490,0.9663572941,-0.0666647643,-0.0823265687,-0.5600023262,-0.8097600237,0.4285714286,2.0000000000,0.8914285714,0.0062400000,1.0067695353,-0.0401405086,1.0470983257,-0.0771093121
