section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0233187474
test_median,final_equity,1.0000000000
test_std,final_equity,0.1241996368
train_mean,final_equity,1.1309007071
train_median,final_equity,1.0723598741
train_std,final_equity,0.2028809433
test_mean,annualized_return,0.0633809467
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.2749831652
bootstrap_ci_lower,annualized_return,-0.0322385089
bootstrap_ci_upper,annualized_return,0.1743735064
bootstrap_p_positive,annualized_return,0.8929000000
train_mean,annualized_return,0.0597344402
train_median,annualized_return,0.0356200194
train_std,annualized_return,0.0904092619
test_mean,max_drawdown,-0.1005190996
test_median,max_drawdown,-0.0823265687
test_std,max_drawdown,0.0761309687
train_mean,max_drawdown,-0.1856227299
train_median,max_drawdown,-0.1503541215
train_std,max_drawdown,0.1059952066
test_mean,sharpe_ratio,0.2853427063
test_median,sharpe_ratio,0.0433351438
test_std,sharpe_ratio,1.5828887690
train_mean,sharpe_ratio,0.4032758681
train_median,sharpe_ratio,0.4016907206
train_std,sharpe_ratio,0.4690475498
test_mean,calmar_ratio,2.1000391460
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,4.8768865767
train_mean,calmar_ratio,0.3634355516
train_median,calmar_ratio,0.3259043421
train_std,calmar_ratio,0.5694160652
test_mean,monthly_win_rate,0.3875661376
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.2336294897
train_mean,monthly_win_rate,0.4278062678
train_median,monthly_win_rate,0.4615384615
train_std,monthly_win_rate,0.1943411245
test_mean,max_consecutive_losing_months,1.8148148148
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.2483184849
train_mean,max_consecutive_losing_months,2.8888888889
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,1.0304020551
test_mean,average_turnover,0.5493099726
test_median,average_turnover,0.4933333333
test_std,average_turnover,0.3326358613
train_mean,average_turnover,0.5001702141
train_median,average_turnover,0.4440000000
train_std,average_turnover,0.2375087426
test_mean,total_transaction_cost,0.0034432143
test_median,total_transaction_cost,0.0030000000
test_std,total_transaction_cost,0.0020445031
train_mean,total_transaction_cost,0.0125476586
train_median,total_transaction_cost,0.0111000000
train_std,total_transaction_cost,0.0060668136
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0112644881
test_median,excess_return_vs_equal_weight,-0.0084310596
test_std,excess_return_vs_equal_weight,0.1066040597
train_mean,excess_return_vs_equal_weight,0.0611512274
train_median,excess_return_vs_equal_weight,0.0393798529
train_std,excess_return_vs_equal_weight,0.1965600480
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0017892625
test_median,excess_return_vs_benchmark,-0.0006141494
test_std,excess_return_vs_benchmark,0.1101202639
train_mean,excess_return_vs_benchmark,0.1034415505
train_median,excess_return_vs_benchmark,0.1046730339
train_std,excess_return_vs_benchmark,0.2050527667
selection_count,ret60_top3_riskoff0_pmequal,6
selection_count,ret60_top5_riskoff0_pmequal,3
selection_count,rel_ret60_ret5_top3_riskoff0p3_pmsoftmax,2
selection_count,ret60_ret5_top3_riskoff0_pmequal,2
selection_count,ret60_top3_riskoff0p3_pmequal,2
selection_count,ret60_top3_riskoff0p3_pmsoftmax,2
selection_count,rel_ret60_ret5_top3_riskoff0p3_pmequal,1
selection_count,rel_ret60_ret5_top5_riskoff0p3_pmequal,1
selection_count,rel_ret60_ret5_top8_riskoff0p3_pmequal,1
selection_count,ret60_ret5_top3_riskoff0p1_pmsoftmax,1
selection_count,ret60_ret5_top3_riskoff0p3_pmsoftmax,1
selection_count,ret60_top5_riskoff0_pmsoftmax,1
selection_count,ret60_top5_riskoff0p3_pmequal,1
selection_count,ret60_top8_riskoff0_pmequal,1
selection_count,ret60_top8_riskoff0p2_pmequal,1
selection_count,ret60_top8_riskoff0p3_pmequal,1
